,logFC,FDR,FC,geneLen,GC_content,median_IUPRED,5UTR_PARS_RNAstructure,CDS_PARS_RNAstructure,3UTR_PARS_RNAstructure,%AA_A,%AA_C,%AA_D,%AA_E,%AA_F,%AA_G,%AA_H,%AA_I,%AA_K,%AA_L,%AA_M,%AA_N,%AA_P,%AA_Q,%AA_R,%AA_S,%AA_T,%AA_V,%AA_W,%AA_Y,%Helical,%urn,%Beta-sheet,number of physical interaction,number of positive genetic interaction,number of negative genetic interaction,RNAseq RPKM,RNAseq log2(RPKM),MS mean,log2(MS),Imputed log2(MS),protein_synthesis_rate,real_protein_synthesis_rate,Ribo_profilling_init_rate,Ribo_profilling_ribo_num,Ribo_profilling_trans_rate,Ribo_profilling_trans_time,Ribo_profilling_delay_time,IDR ratio,Control Median,control Localization,GOMF,GOBP slim,GOCC slim,Number of complexe,Sum d0 Pause Score,Sum Odds Ratio,intron length,Intron status,aliphaticIndex,aromaticityScore,cai,codonBias,fopScore,gravyScore,instabilityIndex,molecularWeight,pI
YAL015C,0.448537752872355,0.111454573154864,1.3646564046946466,1200.0,43.4167,0.1969,0.0,0.090508333333333,0.011739130434783,0.0375,0.0125,0.0525,0.075,0.015,0.0475,0.0125,0.07,0.09,0.105,0.03,0.035,0.0575,0.055,0.0425,0.065,0.06,0.0825,0.025,0.0275,0.325,0.205,0.2475,10.0,,7.0,5.6524430397500005,2.733884252504615,34518666.666666664,25.04087344542054,25.04087344542054,,,0.081,6.899,0.068,101.403,4.423,0.025,20.77,nucleus,GO:0000702;GO:0000703;GO:0003676;GO:0003677;GO:0003824;GO:0003906;GO:0005488;GO:0008534;GO:0016787;GO:0016798;GO:0016799;GO:0016829;GO:0016835;GO:0019104,GO:0006139;GO:0006259;GO:0006281;GO:0006807;GO:0006950;GO:0006974;GO:0006979;GO:0008152;GO:0009056;GO:0009987;GO:0033043;GO:0034641;GO:0042221;GO:0043170;GO:0044237;GO:0044238;GO:0050896;GO:0051052;GO:0065007,GO:0005634;GO:0005739;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,,,,0.0,90.93,0.07,0.12,0.08,0.47,-0.35,49.0,45579.4,8.18
YAL016C-B,1.32146291220588,1.6781359098545e-05,2.49919402978524,186.0,25.8065,0.011,,,,0.0161,0.0,0.0161,0.0806,0.0806,0.0161,0.0161,0.1452,0.0645,0.0968,0.0161,0.0806,0.0323,0.0161,0.0323,0.0806,0.0484,0.0323,0.0,0.1129,0.4677,0.2097,0.2097,,,,0.878385405,0.9094931039056174,,,23.62565559373524,,,,,,,,,,,,,,0.0,,,,0.0,98.11,0.2,0.24,0.23,0.58,0.01,47.07,7405.6,7.5
YAL016W,-1.94622115555169,0.111454573154864,0.25949503572410404,1908.0,38.26,0.0506,0.0,0.322003668763104,0.230571428571428,0.0833,0.011,0.0833,0.0613,0.0425,0.0267,0.0063,0.0739,0.055,0.1431,0.0142,0.055,0.033,0.0425,0.0362,0.0786,0.0456,0.077,0.011,0.0189,0.3664,0.1934,0.3019,19.0,,,61.1453382525,5.957574268429883,847070000.0,29.657905956428017,29.657905956428017,1954.21426086956,0.188947110367261,0.144,15.948,0.106,149.873,5.554,0.0550314465408805,,,,GO:0006417;GO:0006793;GO:0007346;GO:0008152;GO:0009987;GO:0033043;GO:0044237;GO:0051726;GO:0065007,GO:0005634;GO:0005737;GO:0005815;GO:0008287;GO:0030427;GO:0032991;GO:0043226;GO:0043229;GO:0043231;GO:0043234;GO:0044464,2.0,0.45,5.83,,0.0,111.12,0.07,0.18,0.13,0.5,0.09,41.8,70873.7,4.31
YAL018C,0.0116927690901891,0.952656378903025,1.0081377428112488,978.0,37.8323,0.00825,,,,0.0583,0.0031,0.0153,0.0399,0.1043,0.0644,0.0215,0.0828,0.046,0.1227,0.0307,0.0583,0.0491,0.0368,0.0184,0.0675,0.046,0.0644,0.0061,0.0613,0.4417,0.2393,0.2515,,,,,,,,23.028728732826316,,,0.116,6.89,0.088,78.68,2.341,0.0368098159509202,14.66,below threshold,,GO:0007047;GO:0009987;GO:0016043;GO:0022607;GO:0032502;GO:0045229;GO:0048646;GO:0070882;GO:0071554;GO:0071555,GO:0005618;GO:0005811;GO:0016020;GO:0030312;GO:0044464,0.0,,,,0.0,99.74,0.17,0.15,0.11,0.49,0.44,38.16,37053.6,8.96
YAL019W,1.90864221739325,0.0416302854679052,3.7545557589666525,3396.0,40.5771,0.4017,,,,0.0583,0.0062,0.0919,0.0751,0.0345,0.0336,0.0194,0.0565,0.0901,0.091,0.0194,0.0724,0.0442,0.0406,0.0442,0.0839,0.0557,0.0486,0.0053,0.0283,0.2641,0.2341,0.2438,15.0,4.0,35.0,16.5581676875,4.134070392717119,1244600000.0,30.21303500648335,30.21303500648335,,,0.069,15.955,0.057,277.678,7.952,0.3869257950530035,,,GO:0000166;GO:0003676;GO:0003677;GO:0003682;GO:0003824;GO:0004386;GO:0005488;GO:0005515;GO:0005524;GO:0008094;GO:0016462;GO:0016787;GO:0016817;GO:0016818;GO:0016887;GO:0017076;GO:0017111;GO:0030554;GO:0032553;GO:0032555;GO:0032559;GO:0035639;GO:0042623;GO:0042802,GO:0006139;GO:0006259;GO:0006325;GO:0006807;GO:0006996;GO:0008152;GO:0009056;GO:0009987;GO:0016043;GO:0016458;GO:0016568;GO:0022607;GO:0034641;GO:0040029;GO:0043170;GO:0044237;GO:0044238;GO:0051276;GO:0065007,GO:0005634;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,,,,0.0,73.33,0.07,0.16,0.08,0.48,-0.77,45.48,128470.9,5.04
YAL020C,0.777894869028775,0.0059745698682847,1.7146271217175684,1002.0,55.1896,0.2645,0.0,0.173435129740518,-0.139215686274509,0.0479,0.0359,0.0569,0.0419,0.0299,0.1287,0.0329,0.0299,0.0299,0.0659,0.018,0.0449,0.0419,0.0659,0.0569,0.0539,0.0509,0.1108,0.0269,0.0269,0.2904,0.2695,0.1737,2.0,1.0,68.0,16.5710171675,4.135125804732926,,,22.979059099005966,,,0.055,4.45,0.047,95.224,4.161,0.0628742514970059,18.14,below threshold,,GO:0006139;GO:0006396;GO:0006399;GO:0006807;GO:0006996;GO:0007010;GO:0008033;GO:0008152;GO:0009451;GO:0009987;GO:0016043;GO:0016070;GO:0034641;GO:0040007;GO:0043170;GO:0043412;GO:0044237;GO:0044238,GO:0005737;GO:0044464,0.0,,,,0.0,71.02,0.08,0.06,-0.1,0.36,-0.32,31.54,36463.6,6.72
YAL022C,-0.27185172526628,0.279872490787011,0.8282557819534666,1554.0,45.8172,0.01825,-0.464705882352941,0.491672458172459,0.038205128205128,0.0502,0.0077,0.0483,0.0618,0.0772,0.056,0.0174,0.0849,0.0386,0.0985,0.0367,0.0444,0.0309,0.0232,0.0347,0.0927,0.0695,0.0811,0.0154,0.029,0.3861,0.2239,0.2471,,,,38.92495479750001,5.31921886912476,32372333.333333332,24.948258064658194,24.948258064658194,,,0.166,15.896,0.117,135.518,7.889,0.137065637065637,,,GO:0005215;GO:0005337;GO:0015205;GO:0015932;GO:0022857;GO:0022891;GO:0022892;GO:0034257,GO:0006810;GO:0009987;GO:0015931;GO:0051234;GO:0055085,GO:0005622;GO:0016020;GO:0044464,0.0,,,,0.0,95.8,0.12,0.12,0.11,0.5,0.26,36.15,58298.6,4.69
YAL023C,-2.08784426089073,0.0268041690861547,0.23523191882281225,2280.0,44.5614,0.0327,0.693364705882352,0.840644780701754,0.312454545454545,0.0592,0.0145,0.0474,0.0395,0.0671,0.0658,0.0276,0.0513,0.0447,0.1039,0.0316,0.0487,0.0461,0.0289,0.0434,0.0882,0.0487,0.0618,0.0355,0.0447,0.3645,0.2487,0.2342,14.0,8.0,97.0,366.322494225,8.520903436819447,5781700000.0,32.42884660664452,32.42884660664452,2858.62452173913,0.276391823467332,0.125,15.867,0.102,155.739,4.964,0.0710526315789473,24.45,ER,GO:0000030;GO:0003824;GO:0004169;GO:0016740;GO:0016757;GO:0016758,GO:0005975;GO:0006464;GO:0006486;GO:0006508;GO:0006810;GO:0006950;GO:0008152;GO:0009056;GO:0009987;GO:0015031;GO:0019538;GO:0042221;GO:0043170;GO:0043412;GO:0044237;GO:0044238;GO:0050896;GO:0051234;GO:0051603,GO:0044464,1.0,0.52,5.5,,0.0,79.18,0.15,0.24,0.35,0.62,-0.05,38.19,86871.5,7.78
YAL025C,0.986769163524457,0.0113616305249718,1.9817420151992133,921.0,42.2367,0.4441,-0.492083333333333,0.347578718783929,0.325636363636363,0.0684,0.0195,0.0717,0.1466,0.0163,0.0358,0.0228,0.0326,0.1042,0.0586,0.0195,0.0456,0.0228,0.0456,0.0651,0.0749,0.0358,0.0586,0.0195,0.0326,0.2182,0.1792,0.2932,6.0,14.0,105.0,26.076547419999997,4.758971884849007,1543133333.3333333,30.523215577249918,30.523215577249918,,,0.088,4.486,0.074,60.423,1.064,0.4104234527687296,35.7,mitochondria,,GO:0006139;GO:0006364;GO:0006396;GO:0006807;GO:0007049;GO:0008152;GO:0009987;GO:0016070;GO:0034641;GO:0042273;GO:0043170;GO:0044237;GO:0044238,GO:0005730;GO:0030529;GO:0030684;GO:0032991;GO:0043226;GO:0043229;GO:0043232;GO:0044464,0.0,,,,0.0,53.32,0.07,0.22,0.23,0.57,-1.18,58.93,35680.9,4.9
YAL026C,-0.33644922256221,0.75430879566067,0.7919881653489488,4068.0,37.586,0.1657,0.000114942528736,0.200101524090464,0.014094488188976,0.0642,0.0096,0.0627,0.0656,0.0583,0.056,0.0199,0.0804,0.0575,0.0929,0.0206,0.0605,0.0332,0.0347,0.0428,0.0715,0.0619,0.0553,0.0133,0.0383,0.3385,0.2212,0.2434,18.0,24.0,68.0,25.457634427499997,4.725612171157052,268073333.33333334,27.99805247846281,27.99805247846281,,,0.016,4.653,0.015,303.883,1.907,0.1194690265486725,35.98,punctate,GO:0000166;GO:0000287;GO:0003824;GO:0004012;GO:0005215;GO:0005319;GO:0005488;GO:0005524;GO:0005548;GO:0016462;GO:0016787;GO:0016817;GO:0016818;GO:0016887;GO:0017076;GO:0017111;GO:0022892;GO:0030554;GO:0032553;GO:0032555;GO:0032559;GO:0035639;GO:0042623;GO:0043167;GO:0043169;GO:0043492;GO:0046872,GO:0006810;GO:0006869;GO:0006897;GO:0009987;GO:0010324;GO:0015031;GO:0016043;GO:0016044;GO:0016192;GO:0016197;GO:0022607;GO:0022618;GO:0034622;GO:0042221;GO:0048193;GO:0050896;GO:0051234;GO:0061024;GO:0065003;GO:0065007,GO:0044464,0.0,,,,0.0,85.51,0.11,0.19,0.15,0.52,-0.21,36.1,153727.8,5.14
YAL027W,0.977280743717383,0.0346955243442814,1.9687511192965599,786.0,38.4224,0.1386,,,,0.0573,0.0076,0.0534,0.0534,0.0344,0.0229,0.0305,0.0992,0.0916,0.1145,0.0153,0.0649,0.0534,0.0458,0.0458,0.0649,0.0534,0.0611,0.0038,0.0229,0.3359,0.2061,0.2405,30.0,,5.0,5.2599020232500004,2.6461400770177157,,,25.304950857367622,,,0.083,4.49,0.067,66.723,1.405,0.0572519083969465,16.88,below threshold,GO:0003676;GO:0003677;GO:0005488;GO:0043566;GO:0070336;GO:0070337;GO:0070338,GO:0006139;GO:0006259;GO:0006807;GO:0008152;GO:0009056;GO:0009987;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0065007,GO:0005634;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,,,,0.0,102.02,0.06,0.11,-0.01,0.43,-0.26,49.95,29778.0,9.91
YAL028W,-0.798892380592081,0.10174053289548,0.5747902995265849,1587.0,42.5331,0.5055,,,,0.0586,0.0076,0.0662,0.0529,0.034,0.034,0.0454,0.0397,0.0926,0.087,0.0246,0.0435,0.0567,0.0397,0.0397,0.1607,0.0359,0.0529,0.0038,0.0227,0.2401,0.2949,0.2231,8.0,,6.0,0.90386933975,0.9289344716275102,,,23.698066916179876,,,0.083,10.373,0.07,148.522,10.306,0.6068052930056711,,,,GO:0006950;GO:0006970;GO:0009628;GO:0009987;GO:0050896,GO:0005783;GO:0016020;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,,,,0.0,67.77,0.06,0.11,0.0,0.42,-0.69,56.79,58757.8,9.25
YAL029C,0.644938767654511,0.558609757211525,1.5636729178358952,4416.0,37.1603,0.1449,0.040208333333333,0.191551856884059,-0.082285714285714,0.053,0.0102,0.0469,0.0781,0.0469,0.0428,0.0177,0.0815,0.0815,0.108,0.0224,0.0666,0.0299,0.0462,0.0442,0.0707,0.0503,0.053,0.0102,0.0394,0.339,0.2099,0.2615,14.0,13.0,61.0,34.4349341575,5.147100463220374,208576666.66666666,27.636002539563084,27.636002539563084,,,0.02,6.874,0.019,352.95,3.116,0.0163043478260869,15.81,below threshold,GO:0000146;GO:0000166;GO:0003774;GO:0003779;GO:0003824;GO:0005488;GO:0005515;GO:0005524;GO:0008092;GO:0016462;GO:0016787;GO:0016817;GO:0016818;GO:0017076;GO:0017111;GO:0030554;GO:0032553;GO:0032555;GO:0032559;GO:0035639;GO:0051015,GO:0006139;GO:0006259;GO:0006807;GO:0006810;GO:0006996;GO:0007029;GO:0008152;GO:0009987;GO:0015931;GO:0016043;GO:0032502;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0048308;GO:0051179;GO:0051234;GO:0051641,GO:0005933;GO:0030427;GO:0032991;GO:0043234;GO:0044464,0.0,,,,0.0,89.22,0.1,0.15,0.09,0.49,-0.33,41.67,169346.1,7.71
YAL030W,0.524929655185748,0.0261779552704868,1.4388634203132868,354.0,42.3729,0.35115,-0.69391304347826,0.009180790960452,0.076285714285714,0.0932,0.0085,0.0678,0.0678,0.0254,0.0339,0.0169,0.0847,0.0678,0.0763,0.0424,0.0424,0.0339,0.0339,0.0763,0.0763,0.0339,0.0847,0.0085,0.0169,0.2966,0.1864,0.2797,10.0,,7.0,62.7413610675,5.994157920158886,341060000.0,28.34545032688321,28.34545032688321,14305.2117391304,1.38312797906704,,,,,,0.2627118644067797,,,GO:0005484;GO:0005488;GO:0005515,GO:0006810;GO:0006887;GO:0006897;GO:0006996;GO:0009987;GO:0010324;GO:0016043;GO:0016044;GO:0016050;GO:0016192;GO:0046903;GO:0048193;GO:0048284;GO:0051234;GO:0061024;GO:0061025,GO:0005768;GO:0005886;GO:0016020;GO:0030427;GO:0032991;GO:0043226;GO:0043229;GO:0043231;GO:0043234;GO:0044464,1.0,,,112.0,1.0,91.21,0.05,0.13,0.08,0.49,-0.22,52.64,13202.5,8.49
YAL031C,0.487024805477453,0.0837348100494893,1.4015515469361008,2283.0,40.0788,0.1914,,,,0.0499,0.0131,0.0355,0.0539,0.0315,0.0197,0.0237,0.067,0.0867,0.1143,0.0171,0.0657,0.0618,0.0368,0.0552,0.1222,0.0552,0.046,0.0131,0.0302,0.3022,0.2694,0.2352,,,,7.3879250999999995,3.0683139789427303,34260000.0,25.030021857743634,25.030021857743634,,,0.056,10.549,0.05,211.028,11.619,0.3574244415243101,24.35,cytosol,GO:0005488;GO:0005515;GO:0008157;GO:0008599;GO:0019208;GO:0019888;GO:0019899;GO:0019902;GO:0019903;GO:0030234,GO:0007059;GO:0009987;GO:0065007,GO:0005737;GO:0044464,0.0,,,,0.0,84.99,0.07,0.12,0.05,0.45,-0.46,55.82,86677.1,10.27
YAL032C,0.147642059836047,0.64705657590136,1.1077574733608386,1140.0,45.2632,0.5176,0.139428571428571,0.026259649122807,-0.040588235294118,0.0921,0.0026,0.0579,0.0763,0.0237,0.0421,0.0211,0.0395,0.0895,0.0763,0.0184,0.0711,0.0526,0.05,0.0632,0.0816,0.0447,0.0632,0.0053,0.0263,0.2342,0.2474,0.2632,83.0,11.0,150.0,7.506835958749999,3.0886226342116405,1061803333.3333334,29.983869430998112,29.983869430998112,,,0.016,1.448,0.015,96.437,1.069,0.631578947368421,26.92,nucleus,,GO:0009987;GO:0016043;GO:0022607;GO:0022618;GO:0034622;GO:0065003,GO:0005634;GO:0005681;GO:0030529;GO:0032991;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,,,,0.0,67.79,0.06,0.14,0.14,0.51,-0.83,39.95,42490.4,9.68
YAL033W,-0.378640013409822,0.0418216970565915,0.7691623159115977,522.0,41.5709,0.1424,0.062941176470588,0.308358237547891,-0.238918918918918,0.0345,0.023,0.0747,0.0575,0.0345,0.0402,0.023,0.1149,0.0805,0.0977,0.0287,0.069,0.023,0.023,0.0575,0.1149,0.0287,0.0517,0.0,0.0172,0.3161,0.2471,0.2184,7.0,12.0,97.0,29.972513442500002,4.952916558426083,155660000.0,27.213823030603,27.213823030603,,,0.074,4.496,0.059,76.118,16.178,0.057471264367816,17.42,below threshold,GO:0000171;GO:0003676;GO:0003723;GO:0003824;GO:0004518;GO:0004519;GO:0004521;GO:0004526;GO:0004540;GO:0004549;GO:0005488;GO:0016787;GO:0016788;GO:0016891;GO:0016893,GO:0006139;GO:0006364;GO:0006396;GO:0006397;GO:0006399;GO:0006807;GO:0008033;GO:0008152;GO:0009987;GO:0016070;GO:0016071;GO:0034641;GO:0043144;GO:0043170;GO:0044237;GO:0044238,GO:0005732;GO:0005737;GO:0030529;GO:0030677;GO:0032991;GO:0044464,2.0,,,,0.0,98.81,0.05,0.09,-0.03,0.42,-0.24,48.9,19574.8,7.97
