Transcript.symbol	Transcript.length	Transcript.gene.secondaryIdentifier
SC_Transcript_00013148	621	YAL055W
""	696	YAL055W
""	717	YAL055W
""	2806	YAL056W
""	2844	YAL056W
SC_Transcript_00004430	1617	YAL058W
SC_Transcript_00007654	1622	YAL058W
""	1744	YAL058W
""	1758	YAL058W
""	878	YAL059W
""	881	YAL059W
SC_Transcript_00002327	1324	YAL060W
SC_Transcript_00003864	1314	YAL060W
SC_Transcript_00009801	1287	YAL060W
SC_Transcript_00014114	1302	YAL060W
""	1326	YAL060W
""	1432	YAL060W
""	1673	YAL061W
""	1754	YAL061W
""	1499	YAL062W
""	1512	YAL062W
""	856	YAL063C-A
""	1566	YAL063C-A
""	3838	YAL064W-B
""	653	YAL066W
""	2036	YAL067C
SC_Transcript_00000469	769	YAR002C-A
SC_Transcript_00000618	752	YAR002C-A
SC_Transcript_00007404	800	YAR002C-A
SC_Transcript_00007422	733	YAR002C-A
SC_Transcript_00009802	742	YAR002C-A
SC_Transcript_00014436	764	YAR002C-A
SC_Transcript_00016960	737	YAR002C-A
""	942	YAR002C-A
""	975	YAR002C-A
SC_Transcript_00001264	1762	YAR002W
SC_Transcript_00003845	1775	YAR002W
""	1881	YAR002W
""	1899	YAR002W
SC_Transcript_00003389	1837	YAR003W
SC_Transcript_00004589	1817	YAR003W
SC_Transcript_00007750	1823	YAR003W
SC_Transcript_00012653	1866	YAR003W
SC_Transcript_00017603	1861	YAR003W
""	1896	YAR003W
""	1951	YAR003W
SC_Transcript_00005412	1986	YAR007C
SC_Transcript_00009632	1979	YAR007C
""	2017	YAR007C
""	2034	YAR007C
SC_Transcript_00011841	1039	YAR008W
SC_Transcript_00015606	1027	YAR008W
""	1069	YAR008W
""	1120	YAR008W
""	2454	YAR014C
""	2456	YAR014C
SC_Transcript_00002916	1137	YAR015W
SC_Transcript_00003133	1066	YAR015W
SC_Transcript_00003174	1110	YAR015W
SC_Transcript_00005113	1105	YAR015W
SC_Transcript_00009572	1119	YAR015W
SC_Transcript_00009594	1076	YAR015W
SC_Transcript_00009860	1132	YAR015W
SC_Transcript_00010106	1071	YAR015W
SC_Transcript_00016470	1081	YAR015W
""	1366	YAR015W
""	2678	YAR015W
""	1538	YAR018C
""	1555	YAR018C
""	3042	YAR019C
""	952	YAR023C
""	1452	YAR023C
SC_Transcript_00016031	968	YAR027W
""	1012	YAR027W
""	1016	YAR027W
SC_Transcript_00000761	936	YAR028W
SC_Transcript_00016563	954	YAR028W
SC_Transcript_00017004	927	YAR028W
""	1115	YAR028W
""	1145	YAR028W
""	1139	YAR029W
""	1745	YAR029W
""	824	YAR030C
""	1080	YAR033W
""	1215	YAR033W
""	2209	YAR035W
""	3723	YAR042W
""	3766	YAR042W
""	1439	YAR053W
SC_Transcript_00006108	568	YBL001C
SC_Transcript_00008487	628	YBL001C
SC_Transcript_00009596	536	YBL001C
SC_Transcript_00009683	574	YBL001C
SC_Transcript_00012330	633	YBL001C
SC_Transcript_00013266	586	YBL001C
SC_Transcript_00013551	373	YBL001C
SC_Transcript_00016347	583	YBL001C
""	729	YBL001C
""	791	YBL001C
SC_Transcript_00000426	693	YBL002W
SC_Transcript_00004067	622	YBL002W
SC_Transcript_00006238	663	YBL002W
""	813	YBL002W
""	1290	YBL002W
SC_Transcript_00000493	565	YBL003C
SC_Transcript_00001163	566	YBL003C
SC_Transcript_00001468	613	YBL003C
SC_Transcript_00002375	580	YBL003C
SC_Transcript_00005655	631	YBL003C
SC_Transcript_00005700	572	YBL003C
SC_Transcript_00005726	641	YBL003C
SC_Transcript_00006424	593	YBL003C
SC_Transcript_00007950	599	YBL003C
SC_Transcript_00010398	609	YBL003C
SC_Transcript_00010688	599	YBL003C
SC_Transcript_00010947	592	YBL003C
SC_Transcript_00011544	626	YBL003C
SC_Transcript_00012816	642	YBL003C
SC_Transcript_00012923	632	YBL003C
SC_Transcript_00013849	605	YBL003C
SC_Transcript_00014535	607	YBL003C
SC_Transcript_00014698	636	YBL003C
SC_Transcript_00015058	598	YBL003C
SC_Transcript_00017846	646	YBL003C
""	958	YBL003C
""	1836	YBL003C
""	3281	YBL005W
SC_Transcript_00004259	720	YBL006C
SC_Transcript_00006302	662	YBL006C
""	809	YBL006C
""	1039	YBL006C
""	857	YBL006W-A
SC_Transcript_00010143	3946	YBL007C
""	3956	YBL007C
""	3969	YBL007C
""	2692	YBL008W
""	2725	YBL008W
""	2209	YBL009W
""	2231	YBL009W
SC_Transcript_00011110	1071	YBL010C
""	1172	YBL010C
""	1214	YBL010C
SC_Transcript_00017845	2586	YBL011W
""	3007	YBL011W
""	3208	YBL011W
SC_Transcript_00012674	2834	YBL014C
""	2854	YBL014C
""	3411	YBL014C
""	1965	YBL015W
""	2027	YBL015W
""	1275	YBL016W
SC_Transcript_00003054	568	YBL018C
SC_Transcript_00004760	583	YBL018C
SC_Transcript_00004829	544	YBL018C
SC_Transcript_00009894	602	YBL018C
""	839	YBL018C
""	1262	YBL018C
""	1729	YBL019W
""	1748	YBL019W
SC_Transcript_00017463	1877	YBL020W
""	1883	YBL020W
""	1920	YBL020W
SC_Transcript_00005618	638	YBL021C
SC_Transcript_00014275	620	YBL021C
""	686	YBL021C
""	1034	YBL021C
SC_Transcript_00006730	3617	YBL022C
SC_Transcript_00011104	3611	YBL022C
""	3594	YBL022C
""	3610	YBL022C
""	2885	YBL023C
""	2897	YBL023C
""	2363	YBL024W
""	2364	YBL024W
""	1080	YBL025W
""	1218	YBL025W
SC_Transcript_00002023	607	YBL026W
SC_Transcript_00002197	618	YBL026W
SC_Transcript_00002623	644	YBL026W
SC_Transcript_00004621	549	YBL026W
SC_Transcript_00005391	613	YBL026W
SC_Transcript_00008040	587	YBL026W
SC_Transcript_00010847	557	YBL026W
SC_Transcript_00012412	592	YBL026W
""	919	YBL026W
""	949	YBL026W
SC_Transcript_00000295	1080	YBL027W
SC_Transcript_00000428	1077	YBL027W
SC_Transcript_00000622	1032	YBL027W
SC_Transcript_00001384	1063	YBL027W
SC_Transcript_00001779	1090	YBL027W
SC_Transcript_00002971	1102	YBL027W
SC_Transcript_00003526	1084	YBL027W
SC_Transcript_00003985	1057	YBL027W
SC_Transcript_00004042	1097	YBL027W
SC_Transcript_00004103	1037	YBL027W
SC_Transcript_00004334	1081	YBL027W
SC_Transcript_00004396	1086	YBL027W
SC_Transcript_00005019	1129	YBL027W
SC_Transcript_00005115	1090	YBL027W
SC_Transcript_00005511	1085	YBL027W
SC_Transcript_00006129	1063	YBL027W
SC_Transcript_00006707	1094	YBL027W
SC_Transcript_00006723	1064	YBL027W
SC_Transcript_00007033	1074	YBL027W
SC_Transcript_00007379	1058	YBL027W
SC_Transcript_00007518	1102	YBL027W
SC_Transcript_00008266	1106	YBL027W
SC_Transcript_00008285	1068	YBL027W
SC_Transcript_00008464	1121	YBL027W
SC_Transcript_00008897	1133	YBL027W
SC_Transcript_00009055	1133	YBL027W
SC_Transcript_00009763	1027	YBL027W
SC_Transcript_00010537	1051	YBL027W
SC_Transcript_00010694	1089	YBL027W
SC_Transcript_00010860	1128	YBL027W
SC_Transcript_00011053	1108	YBL027W
SC_Transcript_00011291	1118	YBL027W
SC_Transcript_00011310	1096	YBL027W
SC_Transcript_00011365	1102	YBL027W
SC_Transcript_00011839	1076	YBL027W
SC_Transcript_00011866	1075	YBL027W
SC_Transcript_00012616	1084	YBL027W
SC_Transcript_00012755	1110	YBL027W
SC_Transcript_00012841	1020	YBL027W
SC_Transcript_00013674	1096	YBL027W
SC_Transcript_00015478	1069	YBL027W
SC_Transcript_00015997	1070	YBL027W
SC_Transcript_00016841	1116	YBL027W
SC_Transcript_00017737	1069	YBL027W
""	1357	YBL027W
""	1447	YBL027W
SC_Transcript_00014425	560	YBL028C
""	663	YBL028C
""	664	YBL028C
SC_Transcript_00000164	499	YBL029C-A
SC_Transcript_00001787	496	YBL029C-A
SC_Transcript_00003193	476	YBL029C-A
SC_Transcript_00003382	513	YBL029C-A
SC_Transcript_00007243	492	YBL029C-A
SC_Transcript_00009400	456	YBL029C-A
SC_Transcript_00010517	504	YBL029C-A
SC_Transcript_00013388	505	YBL029C-A
SC_Transcript_00014419	484	YBL029C-A
SC_Transcript_00014622	512	YBL029C-A
""	1521	YBL029C-A
""	1689	YBL029C-A
SC_Transcript_00000824	1379	YBL030C
SC_Transcript_00010985	1347	YBL030C
SC_Transcript_00016273	1371	YBL030C
SC_Transcript_00017842	1352	YBL030C
""	1427	YBL030C
""	1454	YBL030C
""	1221	YBL031W
""	1222	YBL031W
SC_Transcript_00001265	1395	YBL032W
""	1449	YBL032W
""	1456	YBL032W
SC_Transcript_00005997	1128	YBL033C
""	1238	YBL033C
""	2265	YBL035C
""	2339	YBL035C
SC_Transcript_00002664	908	YBL036C
SC_Transcript_00009581	868	YBL036C
SC_Transcript_00014962	903	YBL036C
""	1386	YBL036C
""	1971	YBL036C
SC_Transcript_00003360	816	YBL038W
SC_Transcript_00005100	835	YBL038W
SC_Transcript_00007483	828	YBL038W
""	933	YBL038W
""	2081	YBL039C
""	1916	YBL039C-A
""	1917	YBL039C-A
SC_Transcript_00012073	593	YBL039W-B
SC_Transcript_00012948	651	YBL039W-B
SC_Transcript_00013714	371	YBL039W-B
SC_Transcript_00014390	580	YBL039W-B
""	629	YBL039W-B
""	650	YBL039W-B
SC_Transcript_00011810	877	YBL040C
""	1153	YBL040C
""	1159	YBL040C
SC_Transcript_00002926	813	YBL041W
SC_Transcript_00008726	781	YBL041W
SC_Transcript_00011649	876	YBL041W
""	1030	YBL041W
""	1089	YBL041W
SC_Transcript_00012127	2165	YBL042C
SC_Transcript_00012444	2148	YBL042C
SC_Transcript_00013395	2160	YBL042C
SC_Transcript_00014330	2143	YBL042C
""	2139	YBL042C
""	2199	YBL042C
""	1098	YBL043W
""	1130	YBL043W
""	1845	YBL045C
""	1871	YBL045C
""	1518	YBL046W
""	1531	YBL046W
""	4462	YBL047C
""	4497	YBL047C
""	902	YBL049W
SC_Transcript_00000350	1104	YBL050W
SC_Transcript_00000846	1134	YBL050W
SC_Transcript_00000977	1139	YBL050W
SC_Transcript_00004497	1129	YBL050W
SC_Transcript_00008995	1134	YBL050W
SC_Transcript_00009109	1106	YBL050W
SC_Transcript_00011457	1111	YBL050W
SC_Transcript_00015642	1093	YBL050W
SC_Transcript_00017874	1088	YBL050W
""	1166	YBL050W
""	1182	YBL050W
""	2520	YBL051C
""	2523	YBL051C
""	2833	YBL052C
SC_Transcript_00001916	1886	YBL054W
SC_Transcript_00015780	1869	YBL054W
""	1947	YBL054W
""	2312	YBL054W
SC_Transcript_00005879	1741	YBL055C
SC_Transcript_00017558	1720	YBL055C
""	1719	YBL055C
""	1747	YBL055C
SC_Transcript_00002325	1898	YBL056W
SC_Transcript_00004647	1885	YBL056W
SC_Transcript_00004888	1877	YBL056W
SC_Transcript_00005076	1906	YBL056W
SC_Transcript_00005531	1929	YBL056W
SC_Transcript_00005826	1921	YBL056W
SC_Transcript_00007239	1882	YBL056W
SC_Transcript_00009098	1890	YBL056W
SC_Transcript_00009522	1827	YBL056W
SC_Transcript_00011708	1817	YBL056W
SC_Transcript_00013162	1866	YBL056W
SC_Transcript_00015437	1901	YBL056W
SC_Transcript_00016467	1874	YBL056W
SC_Transcript_00016597	1893	YBL056W
SC_Transcript_00017488	1835	YBL056W
""	1955	YBL056W
""	2396	YBL056W
SC_Transcript_00009069	714	YBL057C
SC_Transcript_00016541	719	YBL057C
""	1165	YBL057C
""	1170	YBL057C
SC_Transcript_00005686	1423	YBL058W
SC_Transcript_00007320	1410	YBL058W
SC_Transcript_00007529	1416	YBL058W
SC_Transcript_00010582	1417	YBL058W
""	1455	YBL058W
SC_Transcript_00007144	645	YBL059C-A
SC_Transcript_00008190	650	YBL059C-A
SC_Transcript_00015649	655	YBL059C-A
SC_Transcript_00017157	635	YBL059C-A
""	1284	YBL059C-A
""	1768	YBL059C-A
""	2109	YBL060W
""	2332	YBL060W
SC_Transcript_00002787	2279	YBL061C
SC_Transcript_00004470	2283	YBL061C
SC_Transcript_00008245	2270	YBL061C
SC_Transcript_00011094	2292	YBL061C
""	2308	YBL061C
""	2319	YBL061C
SC_Transcript_00001495	870	YBL064C
SC_Transcript_00001776	824	YBL064C
SC_Transcript_00009073	865	YBL064C
""	968	YBL064C
""	1114	YBL064C
SC_Transcript_00000113	1106	YBL068W
SC_Transcript_00013732	1096	YBL068W
""	1459	YBL068W
""	1556	YBL068W
""	1108	YBL068W-A
""	1264	YBL068W-A
""	1560	YBL069W
""	688	YBL071C
SC_Transcript_00006479	535	YBL071W-A
SC_Transcript_00009652	543	YBL071W-A
SC_Transcript_00010869	538	YBL071W-A
SC_Transcript_00011441	530	YBL071W-A
""	796	YBL071W-A
""	811	YBL071W-A
SC_Transcript_00012908	970	YBL072C
""	1219	YBL072C
""	1221	YBL072C
""	1362	YBL074C
""	1375	YBL074C
""	2527	YBL075C
""	2566	YBL075C
SC_Transcript_00009491	3336	YBL076C
""	3360	YBL076C
""	3372	YBL076C
SC_Transcript_00000104	499	YBL078C
SC_Transcript_00000727	525	YBL078C
SC_Transcript_00001732	494	YBL078C
SC_Transcript_00002467	504	YBL078C
SC_Transcript_00003860	497	YBL078C
SC_Transcript_00004995	513	YBL078C
SC_Transcript_00005364	472	YBL078C
SC_Transcript_00009429	482	YBL078C
SC_Transcript_00009647	503	YBL078C
SC_Transcript_00011020	519	YBL078C
SC_Transcript_00014279	543	YBL078C
SC_Transcript_00017429	849	YBL078C
""	878	YBL078C
""	930	YBL078C
""	1801	YBL080C
""	1802	YBL080C
""	1557	YBL081W
""	1792	YBL081W
""	1458	YBL082C
""	1679	YBL082C
""	1315	YBL083C
""	1395	YBL083C
""	3260	YBL085W
""	3264	YBL085W
SC_Transcript_00009300	1563	YBL086C
SC_Transcript_00017153	1473	YBL086C
""	1584	YBL086C
SC_Transcript_00000142	1033	YBL087C
SC_Transcript_00000379	1121	YBL087C
SC_Transcript_00000687	1057	YBL087C
SC_Transcript_00000814	1061	YBL087C
SC_Transcript_00000896	1039	YBL087C
SC_Transcript_00001366	1047	YBL087C
SC_Transcript_00001447	1076	YBL087C
SC_Transcript_00001737	1143	YBL087C
SC_Transcript_00001946	1110	YBL087C
SC_Transcript_00001990	1052	YBL087C
SC_Transcript_00002151	1138	YBL087C
SC_Transcript_00002343	1116	YBL087C
SC_Transcript_00002821	1036	YBL087C
SC_Transcript_00002917	1028	YBL087C
SC_Transcript_00002981	1022	YBL087C
SC_Transcript_00003086	1052	YBL087C
SC_Transcript_00003169	1027	YBL087C
SC_Transcript_00003234	1132	YBL087C
SC_Transcript_00003654	1093	YBL087C
SC_Transcript_00003753	1014	YBL087C
SC_Transcript_00004275	1013	YBL087C
SC_Transcript_00004359	1033	YBL087C
SC_Transcript_00004774	1041	YBL087C
SC_Transcript_00004854	1127	YBL087C
SC_Transcript_00004898	1033	YBL087C
SC_Transcript_00005177	965	YBL087C
SC_Transcript_00005249	1113	YBL087C
SC_Transcript_00005315	1057	YBL087C
SC_Transcript_00005342	971	YBL087C
SC_Transcript_00005421	1096	YBL087C
SC_Transcript_00005756	1102	YBL087C
SC_Transcript_00006159	1024	YBL087C
SC_Transcript_00006241	1104	YBL087C
SC_Transcript_00006751	1067	YBL087C
SC_Transcript_00006811	1052	YBL087C
SC_Transcript_00007546	1070	YBL087C
SC_Transcript_00007854	1072	YBL087C
SC_Transcript_00007934	980	YBL087C
SC_Transcript_00008206	1044	YBL087C
SC_Transcript_00008513	1127	YBL087C
SC_Transcript_00008950	1065	YBL087C
SC_Transcript_00009313	1126	YBL087C
SC_Transcript_00009432	952	YBL087C
SC_Transcript_00010379	1081	YBL087C
SC_Transcript_00011267	1018	YBL087C
SC_Transcript_00011369	1063	YBL087C
SC_Transcript_00012129	1033	YBL087C
SC_Transcript_00012496	1046	YBL087C
SC_Transcript_00012548	1102	YBL087C
SC_Transcript_00012672	1115	YBL087C
SC_Transcript_00012904	1048	YBL087C
SC_Transcript_00013029	1042	YBL087C
SC_Transcript_00013098	1013	YBL087C
SC_Transcript_00013456	1041	YBL087C
SC_Transcript_00013617	1132	YBL087C
SC_Transcript_00014337	1039	YBL087C
SC_Transcript_00015256	1108	YBL087C
SC_Transcript_00015265	1042	YBL087C
SC_Transcript_00015290	1056	YBL087C
SC_Transcript_00015594	1020	YBL087C
SC_Transcript_00016438	1047	YBL087C
SC_Transcript_00016909	1058	YBL087C
SC_Transcript_00017048	1028	YBL087C
SC_Transcript_00017495	1005	YBL087C
SC_Transcript_00017684	1051	YBL087C
SC_Transcript_00017695	1119	YBL087C
""	1193	YBL087C
""	1252	YBL087C
""	1676	YBL089W
""	1768	YBL089W
SC_Transcript_00002024	704	YBL090W
SC_Transcript_00003463	664	YBL090W
SC_Transcript_00012359	674	YBL090W
""	792	YBL090W
""	826	YBL090W
SC_Transcript_00002373	1443	YBL091C
SC_Transcript_00002913	1425	YBL091C
