Gene	Gene Systematic Name	Phenotype	Experiment Type	Experiment Type Category	Mutant Information	Strain Background	Chemical	Details	Reference
ALR1	YOL130W	inviable 	systematic mutation set	large-scale survey	null Allele: alr1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
AME1	YBR211C	inviable 	systematic mutation set	large-scale survey	null Allele: ame1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
AOS1	YPR180W	inviable 	systematic mutation set	large-scale survey	null Allele: aos1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
APC1	YNL172W	inviable 	systematic mutation set	large-scale survey	null Allele: apc1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
APC11	YDL008W	inviable 	systematic mutation set	large-scale survey	null Allele: apc11-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
APC2	YLR127C	inviable 	systematic mutation set	large-scale survey	null Allele: apc2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
APC4	YDR118W	inviable 	systematic mutation set	large-scale survey	null Allele: apc4-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
APC5	YOR249C	inviable 	systematic mutation set	large-scale survey	null Allele: apc5-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ARB1	YER036C	inviable 	systematic mutation set	large-scale survey	null Allele: arb1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ARC15	YIL062C	inviable 	systematic mutation set	large-scale survey	null Allele: arc15-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ARC19	YKL013C	inviable 	systematic mutation set	large-scale survey	null Allele: arc19-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ARC35	YNR035C	inviable 	systematic mutation set	large-scale survey	null Allele: arc35-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ARC40	YBR234C	inviable 	systematic mutation set	large-scale survey	null Allele: arc40-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ARH1	YDR376W	inviable 	systematic mutation set	large-scale survey	null Allele: arh1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ARP2	YDL029W	inviable 	systematic mutation set	large-scale survey	null Allele: arp2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ARP3	YJR065C	inviable 	systematic mutation set	large-scale survey	null Allele: arp3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ARP4	YJL081C	inviable 	systematic mutation set	large-scale survey	null Allele: arp4-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ARP5	YNL059C	inviable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null Allele: arp5-Δ	Sigma1278b			Dowell RD, et al. (2010) PMID:20413493
ARP7	YPR034W	inviable 	systematic mutation set	large-scale survey	null Allele: arp7-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ARP9	YMR033W	inviable 	systematic mutation set	large-scale survey	null Allele: arp9-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ASA1	YPR085C	inviable 	systematic mutation set	large-scale survey	null Allele: asa1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ASK1	YKL052C	inviable 	systematic mutation set	large-scale survey	null Allele: ask1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ATM1	YMR301C	inviable 	systematic mutation set	large-scale survey	null Allele: atm1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ATP16	YDL004W	inviable 	systematic mutation set	large-scale survey	null Allele: atp16-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
AUR1	YKL004W	inviable 	systematic mutation set	large-scale survey	null Allele: aur1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
AVO1	YOL078W	inviable 	systematic mutation set	large-scale survey	null Allele: avo1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
BBP1	YPL255W	inviable 	systematic mutation set	large-scale survey	null Allele: bbp1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
BCD1	YHR040W	inviable 	systematic mutation set	large-scale survey	null Allele: bcd1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
BCP1	YDR361C	inviable 	systematic mutation set	large-scale survey	null Allele: bcp1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
BDP1	YNL039W	inviable 	systematic mutation set	large-scale survey	null Allele: bdp1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
BEM1	YBR200W	inviable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null Allele: bem1-Δ	Sigma1278b			Dowell RD, et al. (2010) PMID:20413493
BET1	YIL004C	inviable 	systematic mutation set	large-scale survey	null Allele: bet1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
BET2	YPR176C	inviable 	systematic mutation set	large-scale survey	null Allele: bet2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
BET3	YKR068C	inviable 	systematic mutation set	large-scale survey	null Allele: bet3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
BET4	YJL031C	inviable 	systematic mutation set	large-scale survey	null Allele: bet4-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
BET5	YML077W	inviable 	systematic mutation set	large-scale survey	null Allele: bet5-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
BFR2	YDR299W	inviable 	systematic mutation set	large-scale survey	null Allele: bfr2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
BIG1	YHR101C	inviable 	systematic mutation set	large-scale survey	null Allele: big1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
BMS1	YPL217C	inviable 	systematic mutation set	large-scale survey	null Allele: bms1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
BOS1	YLR078C	inviable 	systematic mutation set	large-scale survey	null Allele: bos1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
BPL1	YDL141W	inviable 	systematic mutation set	large-scale survey	null Allele: bpl1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
BRF1	YGR246C	inviable 	systematic mutation set	large-scale survey	null Allele: brf1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
BRL1	YHR036W	inviable 	systematic mutation set	large-scale survey	null Allele: brl1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
BRN1	YBL097W	inviable 	systematic mutation set	large-scale survey	null Allele: brn1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
BRR2	YER172C	inviable 	systematic mutation set	large-scale survey	null Allele: brr2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
BRR6	YGL247W	inviable 	systematic mutation set	large-scale survey	null Allele: brr6-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
BRX1	YOL077C	inviable 	systematic mutation set	large-scale survey	null Allele: brx1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
BUD26	YDR241W	inviable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null Allele: bud26-Δ	Sigma1278b			Dowell RD, et al. (2010) PMID:20413493
BUD27	YFL023W	inviable 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: bud27-Δ	SK1			Rabitsch KP, et al. (2001) PMID:11470404
BUR6	YER159C	inviable 	systematic mutation set	large-scale survey	null Allele: bur6-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CAB1	YDR531W	inviable 	systematic mutation set	large-scale survey	null Allele: cab1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CAB2	YIL083C	inviable 	systematic mutation set	large-scale survey	null Allele: cab2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CAB3	YKL088W	inviable 	systematic mutation set	large-scale survey	null Allele: cab3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CAB4	YGR277C	inviable 	systematic mutation set	large-scale survey	null Allele: cab4-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CAB5	YDR196C	inviable 	systematic mutation set	large-scale survey	null Allele: cab5-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CAK1	YFL029C	inviable 	systematic mutation set	large-scale survey	null Allele: cak1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CBF2	YGR140W	inviable 	systematic mutation set	large-scale survey	null Allele: cbf2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CBF5	YLR175W	inviable 	systematic mutation set	large-scale survey	null Allele: cbf5-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CBK1	YNL161W	inviable 	systematic mutation set	large-scale survey	null Allele: cbk1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CCA1	YER168C	inviable 	systematic mutation set	large-scale survey	null Allele: cca1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CCL1	YPR025C	inviable 	systematic mutation set	large-scale survey	null Allele: ccl1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CCT2	YIL142W	inviable 	systematic mutation set	large-scale survey	null Allele: cct2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CCT3	YJL014W	inviable 	systematic mutation set	large-scale survey	null Allele: cct3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CCT4	YDL143W	inviable 	systematic mutation set	large-scale survey	null Allele: cct4-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CCT5	YJR064W	inviable 	systematic mutation set	large-scale survey	null Allele: cct5-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CCT6	YDR188W	inviable 	systematic mutation set	large-scale survey	null Allele: cct6-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CCT7	YJL111W	inviable 	systematic mutation set	large-scale survey	null Allele: cct7-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CCT8	YJL008C	inviable 	systematic mutation set	large-scale survey	null Allele: cct8-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC1	YDR182W	inviable 	systematic mutation set	large-scale survey	null Allele: cdc1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC11	YJR076C	inviable 	systematic mutation set	large-scale survey	null Allele: cdc11-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC12	YHR107C	inviable 	systematic mutation set	large-scale survey	null Allele: cdc12-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC123	YLR215C	inviable 	systematic mutation set	large-scale survey	null Allele: cdc123-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC13	YDL220C	inviable 	systematic mutation set	large-scale survey	null Allele: cdc13-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC14	YFR028C	inviable 	systematic mutation set	large-scale survey	null Allele: cdc14-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC15	YAR019C	inviable 	systematic mutation set	large-scale survey	null Allele: cdc15-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC16	YKL022C	inviable 	systematic mutation set	large-scale survey	null Allele: cdc16-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC19	YAL038W	inviable 	systematic mutation set	large-scale survey	null Allele: cdc19-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC20	YGL116W	inviable 	systematic mutation set	large-scale survey	null Allele: cdc20-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC21	YOR074C	inviable 	systematic mutation set	large-scale survey	null Allele: cdc21-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC23	YHR166C	inviable 	systematic mutation set	large-scale survey	null Allele: cdc23-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC24	YAL041W	inviable 	systematic mutation set	large-scale survey	null Allele: cdc24-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC25	YLR310C	inviable 	systematic mutation set	large-scale survey	null Allele: cdc25-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC27	YBL084C	inviable 	systematic mutation set	large-scale survey	null Allele: cdc27-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC28	YBR160W	inviable 	systematic mutation set	large-scale survey	null Allele: cdc28-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC3	YLR314C	inviable 	systematic mutation set	large-scale survey	null Allele: cdc3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC31	YOR257W	inviable 	systematic mutation set	large-scale survey	null Allele: cdc31-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC33	YOL139C	inviable 	systematic mutation set	large-scale survey	null Allele: cdc33-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC34	YDR054C	inviable 	systematic mutation set	large-scale survey	null Allele: cdc34-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC36	YDL165W	inviable 	systematic mutation set	large-scale survey	null Allele: cdc36-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC37	YDR168W	inviable 	systematic mutation set	large-scale survey	null Allele: cdc37-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC39	YCR093W	inviable 	systematic mutation set	large-scale survey	null Allele: cdc39-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC4	YFL009W	inviable 	systematic mutation set	large-scale survey	null Allele: cdc4-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC40	YDR364C	inviable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null Allele: cdc40-Δ	Sigma1278b			Dowell RD, et al. (2010) PMID:20413493
CDC42	YLR229C	inviable 	systematic mutation set	large-scale survey	null Allele: cdc42-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC43	YGL155W	inviable 	systematic mutation set	large-scale survey	null Allele: cdc43-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC45	YLR103C	inviable 	systematic mutation set	large-scale survey	null Allele: cdc45-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC48	YDL126C	inviable 	systematic mutation set	large-scale survey	null Allele: cdc48-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC5	YMR001C	inviable 	systematic mutation set	large-scale survey	null Allele: cdc5-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC53	YDL132W	inviable 	systematic mutation set	large-scale survey	null Allele: cdc53-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC6	YJL194W	inviable 	systematic mutation set	large-scale survey	null Allele: cdc6-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC60	YPL160W	inviable 	systematic mutation set	large-scale survey	null Allele: cdc60-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC7	YDL017W	inviable 	systematic mutation set	large-scale survey	null Allele: cdc7-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC8	YJR057W	inviable 	systematic mutation set	large-scale survey	null Allele: cdc8-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDC9	YDL164C	inviable 	systematic mutation set	large-scale survey	null Allele: cdc9-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CDS1	YBR029C	inviable 	systematic mutation set	large-scale survey	null Allele: cds1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CEF1	YMR213W	inviable 	systematic mutation set	large-scale survey	null Allele: cef1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CEG1	YGL130W	inviable 	systematic mutation set	large-scale survey	null Allele: ceg1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CEP3	YMR168C	inviable 	systematic mutation set	large-scale survey	null Allele: cep3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CET1	YPL228W	inviable 	systematic mutation set	large-scale survey	null Allele: cet1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CFD1	YIL003W	inviable 	systematic mutation set	large-scale survey	null Allele: cfd1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CFT1	YDR301W	inviable 	systematic mutation set	large-scale survey	null Allele: cft1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CFT2	YLR115W	inviable 	systematic mutation set	large-scale survey	null Allele: cft2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CGR1	YGL029W	inviable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null Allele: cgr1-Δ	Sigma1278b			Dowell RD, et al. (2010) PMID:20413493
CHS2	YBR038W	inviable 	systematic mutation set	large-scale survey	null Allele: chs2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CIA1	YDR267C	inviable 	systematic mutation set	large-scale survey	null Allele: cia1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CIA2	YHR122W	inviable 	systematic mutation set	large-scale survey	null Allele: cia2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CKS1	YBR135W	inviable 	systematic mutation set	large-scale survey	null Allele: cks1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CLF1	YLR117C	inviable 	systematic mutation set	large-scale survey	null Allele: clf1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CLP1	YOR250C	inviable 	systematic mutation set	large-scale survey	null Allele: clp1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CMD1	YBR109C	inviable 	systematic mutation set	large-scale survey	null Allele: cmd1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CNM67	YNL225C	inviable 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: cnm67-Δ	SK1			Rabitsch KP, et al. (2001) PMID:11470404
CNS1	YBR155W	inviable 	systematic mutation set	large-scale survey	null Allele: cns1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
COF1	YLL050C	inviable 	systematic mutation set	large-scale survey	null Allele: cof1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
COG2	YGR120C	inviable 	systematic mutation set	large-scale survey	null Allele: cog2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
COG3	YER157W	inviable 	systematic mutation set	large-scale survey	null Allele: cog3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
COG4	YPR105C	inviable 	systematic mutation set	large-scale survey	null Allele: cog4-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
COP1	YDL145C	inviable 	systematic mutation set	large-scale survey	null Allele: cop1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CRM1	YGR218W	inviable 	systematic mutation set	large-scale survey	null Allele: crm1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CRS1	YNL247W	inviable 	systematic mutation set	large-scale survey	null Allele: crs1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CSE1	YGL238W	inviable 	systematic mutation set	large-scale survey	null Allele: cse1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CSE4	YKL049C	inviable 	systematic mutation set	large-scale survey	null Allele: cse4-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CSL4	YNL232W	inviable 	systematic mutation set	large-scale survey	null Allele: csl4-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CTF13	YMR094W	inviable 	systematic mutation set	large-scale survey	null Allele: ctf13-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CTK1	YKL139W	inviable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null Allele: ctk1-Δ	Sigma1278b			Dowell RD, et al. (2010) PMID:20413493
CTR86	YCR054C	inviable 	systematic mutation set	large-scale survey	null Allele: ctr86-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CTR86	YCR054C	inviable 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: ctr86-Δ	SK1			Rabitsch KP, et al. (2001) PMID:11470404
CUS1	YMR240C	inviable 	systematic mutation set	large-scale survey	null Allele: cus1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CWC2	YDL209C	inviable 	systematic mutation set	large-scale survey	null Allele: cwc2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CWC22	YGR278W	inviable 	systematic mutation set	large-scale survey	null Allele: cwc22-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CWC23	YGL128C	inviable 	systematic mutation set	large-scale survey	null Allele: cwc23-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CWC24	YLR323C	inviable 	systematic mutation set	large-scale survey	null Allele: cwc24-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CWC25	YNL245C	inviable 	systematic mutation set	large-scale survey	null Allele: cwc25-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CYC8	YBR112C	inviable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null Allele: cyc8-Δ	Sigma1278b			Dowell RD, et al. (2010) PMID:20413493
CYR1	YJL005W	inviable 	systematic mutation set	large-scale survey	null Allele: cyr1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
CYS3	YAL012W	inviable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null Allele: cys3-Δ	Sigma1278b			Dowell RD, et al. (2010) PMID:20413493
CYS4	YGR155W	inviable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null Allele: cys4-Δ	Sigma1278b			Dowell RD, et al. (2010) PMID:20413493
DAD1	YDR016C	inviable 	systematic mutation set	large-scale survey	null Allele: dad1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DAD2	YKR083C	inviable 	systematic mutation set	large-scale survey	null Allele: dad2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DAD3	YBR233W-A	inviable 	systematic mutation set	large-scale survey	null Allele: dad3-Δ	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
DAD4	YDR320C-A	inviable 	systematic mutation set	large-scale survey	null Allele: dad4-Δ	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
DAM1	YGR113W	inviable 	systematic mutation set	large-scale survey	null Allele: dam1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DBF4	YDR052C	inviable 	systematic mutation set	large-scale survey	null Allele: dbf4-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DBP10	YDL031W	inviable 	systematic mutation set	large-scale survey	null Allele: dbp10-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DBP2	YNL112W	inviable 	systematic mutation set	large-scale survey	null Allele: dbp2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DBP5	YOR046C	inviable 	systematic mutation set	large-scale survey	null Allele: dbp5-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DBP6	YNR038W	inviable 	systematic mutation set	large-scale survey	null Allele: dbp6-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DBP9	YLR276C	inviable 	systematic mutation set	large-scale survey	null Allele: dbp9-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DCP1	YOL149W	inviable 	systematic mutation set	large-scale survey	null Allele: dcp1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DCP2	YNL118C	inviable 	systematic mutation set	large-scale survey	null Allele: dcp2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DED1	YOR204W	inviable 	systematic mutation set	large-scale survey	null Allele: ded1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DED81	YHR019C	inviable 	systematic mutation set	large-scale survey	null Allele: ded81-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DFR1	YOR236W	inviable 	systematic mutation set	large-scale survey	null Allele: dfr1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DHR2	YKL078W	inviable 	systematic mutation set	large-scale survey	null Allele: dhr2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DIB1	YPR082C	inviable 	systematic mutation set	large-scale survey	null Allele: dib1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DIM1	YPL266W	inviable 	systematic mutation set	large-scale survey	null Allele: dim1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DIP2	YLR129W	inviable 	systematic mutation set	large-scale survey	null Allele: dip2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DIS3	YOL021C	inviable 	systematic mutation set	large-scale survey	null Allele: dis3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DML1	YMR211W	inviable 	systematic mutation set	large-scale survey	null Allele: dml1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DNA2	YHR164C	inviable 	systematic mutation set	large-scale survey	null Allele: dna2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DOP1	YDR141C	inviable 	systematic mutation set	large-scale survey	null Allele: dop1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DPB11	YJL090C	inviable 	systematic mutation set	large-scale survey	null Allele: dpb11-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DPB2	YPR175W	inviable 	systematic mutation set	large-scale survey	null Allele: dpb2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DPM1	YPR183W	inviable 	systematic mutation set	large-scale survey	null Allele: dpm1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DPS1	YLL018C	inviable 	systematic mutation set	large-scale survey	null Allele: dps1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DRE2	YKR071C	inviable 	systematic mutation set	large-scale survey	null Allele: dre2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
DRS1	YLL008W	inviable 	systematic mutation set	large-scale survey	null Allele: drs1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
