Name	SGD_Start	SGD_End	5'-UTR_Start	3'-UTR_End	5'-UTR_length	3'-UTR_length	Transcription_level(log2)
YAL013W	129271	130533	129238	130575	33	42	5.375039431
YAL012W	130802	131986	130736	132087	66	101	7.888743249
YAL011W	132202	134079		134178		99	3.64385619
YAL010C	135667	134186	135687	134087	20	99	3.169925001
YAL009W	135856	136635	135830	136750	26	115	4.285402219
YAL008W	136916	137512	136845	137646	71	134	5
YAL007C	138347	137700	138415	137574	68	126	6.06608919
YAL004W	140762	141409					
YAL005C	141433	139505	141497	139378	64	127	10.17990909
YAL003W	142176	143162	142163	143372	13	210	9.485829309
YAL002W	143709	147533					
YAL001C	151168	147596	151188	147532	20	64	
YAR002W	152259	153878	152233	153978	26	100	4.426264755
YAR002C-A	154726	154067	154768	154006	42	61	5.022367813
YAR003W	155007	156287	154978	156783	29	496	3.64385619
YAR007C	158621	156756	158686	156704	65	52	6.6794801
YAR008W	158967	159794	158857	159894	110	100	2
YAR014C	168866	166743	169017	166575	151	168	5.50779464
YAR015W	169370	170290	169336	170387	34	97	7.113742166
YAR018C	171698	170391	171738	170347	40	44	5.741466986
YAR019W-A	174996	175340					0
YAR019C	175133	172209		172135		74	3.95419631
YAR020C	177021	176854					
YAR023C	179818	179279	180085	179239	267	40	2.584962501
YAR027W	183764	184471	183755	184649	9	178	4.832890014
YAR028W	184886	185590	184838	185787	48	197	4.321928095
YAR029W	186315	186539					
YAR031W	186830	187726					
YAR030C	186847	186506					
YAR033W	188101	188805					
YAR035W	190187	192250					
YAR035C-A	192411	192331					
YAR042W	192613	196179	192519	196344	94	165	3.64385619
YAR047C	201780	201460					2
YAR050W	203394	208007					
YAR053W	208358	208654					
YAR060C	217483	217148					
YAR064W	220189	220488					
YAR066W	221040	221651					
YAR068W	222397	222882					
YAR069C	224295	224002					
YAR070C	224853	224554					
YAR071W	225451	226854	225698	226905	Potential_AUG_annotation_error	51	
YAR073W	227733	228944					
YAR075W	228835	229308					0
YBL113W-A	646	1128					
YBL113C	2658	280					
YBL112C	2899	2582					
YBL111C	5009	2907					
YBL109W	5790	6125					
YBL108C-A	7733	7605					
YBL108W	8177	8482					0
YBL107W-A	9268	9372					
YBL107C	10551	9961	10592	9852	41	109	5.727920455
YBL106C	13879	10847	13933	10812	54	35	2.700439718
YBL105C	17696	14241	18021	14108	325	133	4.129283017
YBL104C	21293	18177	21300	18102	7	75	3.169925001
YBL103C	23535	22075	23677	21889	142	186	4.087462841
YBL102W	24098	24745	24008	24894	90	149	5.62935662
YBL101C	28299	24946	28364	24828	65	118	4.357552005
YBL100W-C	28427	28546					1
YBL099W	37050	38687	36752	38954	298	267	8.319672121
YBL100C	37300	36986		36763		223	
YBL098W	39142	40524	39120	40648	22	124	3
YBL097W	40828	43092					
YBL095W	43274	44086		44206		120	
YBL096C	43479	43171					
YBL094C	44094	43762					
YBL093C	44915	44253	45022	44118	107	135	5.686500527
YBL092W	45975	46367	45641	46437	334	70	10.05392588
YBL091C-A	47177	46562		46518		44	5.392317423
YBL091C	48625	47360	48658	47292	33	68	7.62935662
YBL090W	48822	49355	48802	49475	20	120	5
YBL089W	49571	50950	49525	50999	46	49	
YBL088C	59379	51016		50949		67	
YBL087C	60735	59818	60755	59748	20	70	9.127994321
YBL086C	62599	61199	62626	61178	27	21	4.357552005
YBL085W	63873	66815	63852	66905	21	90	4.285402219
YBL084C	69442	67166	69565	67027	123	139	3.392317423
YBL083C	70135	69710		69674		36	
YBL082C	71124	69748					
YBL081W	71863	72969	71787	73028	76	59	
YBL080C	74692	73067	74706	71836	14	1231	
YBL079W	75256	79764	75229	80044	27	280	2.700439718
YBL078C	80728	80375	80755	79916	27	459	5.087462841
YBL077W	80895	81326	80922	82186	Potential_AUG_annotation_error	860	
YBL076C	84259	81041	84274	80974	15	67	
YBL075C	86446	84497	86579	84430	133	67	3.459431619
YBL073W	87644	87955					0
YBL074C	87787	86720					0
YBL072C	89123	88521	89438	88436	315	85	
YBL071C-B	89554	89456					
YBL071W-A	89976	90224	89940	90472	36	248	
YBL071C	90529	90221					
YBL069W	90739	92028	90682	92110	57	82	
YBL070C	90923	90603					
YBL068W-A	91792	92028		92110		82	
YBL068W	92412	93395	92358	93479	54	84	5.129283017
YBL067C	95884	93641	96151	93536	267	105	4.044394119
YBL065W	99965	100309					
YBL066C	100117	96671					0
YBL064C	101158	100373	101191	100324	33	49	
YBL063W	101888	105223					
YBL062W	105310	105690					
YBL061C	107408	105318	107509	105239	101	79	
YBL060W	107934	109997	107874	110043	60	46	4.832890014
YBL059C-A	110541	110127	110555	109908	14	219	5.303780748
YBL059W	110596	111246	110629	111279	Potential_AUG_annotation_error	33	4.754887502
YBL058W	111439	112710	111410	112828	29	118	
YBL057C	113447	112803	113453	112752	6	51	
YBL056W	113765	115171	113684	115565	81	394	6.900866808
YBL055C	116832	115576	116925	115505	93	71	5.303780748
YBL054W	117592	119169	117491	119364	101	195	2.906890596
YBL053W	119338	119712					
YBL052C	121877	119382	121917	119334	40	48	
YBL051C	124762	122756	124822	122340	60	416	5.768184325
YBL050W	125128	126122	125053	126185	75	63	6.22881869
YBL049W	126831	127247	126607	127513	224	266	
YBL048W	127302	127613		128378		765	1.584962501
YBL047C	132043	127898	132196	127684	153	214	6.06608919
YBL046W	132427	133752	132389	134066	38	314	4.321928095
YBL045C	135519	134146	135715	133983	196	163	6.118941073
YBL044W	136001	136369					1.807354922
YBL043W	136691	137464	136557	137687	134	223	2
YBL042C	140263	138344	140311	138174	48	170	4.459431619
YBL041W	141250	141975	141208	142023	42	48	6.882643049
YBL040C	142871	142115	142894	142037	23	78	6.22881869
YBL039W-B	143396	143575	143112	143692	284	117	3.807354922
YBL039C-A	145034	144951					
YBL039C	145731	143992	145786	143912	55	80	4.807354922
YBL038W	146190	146888	146141	146952	49	64	5.108524457
YBL037W	147212	150289	147130	150430	82	141	3.321928095
YBL036C	151223	150450	151248	150325	25	125	4.857980995
YBL035C	153613	151496	153800	151437	187	59	3.754887502
YBL034C	158392	153851	158460	153841	68	10	3.321928095
YBL033C	159696	158659	159725	158596	29	63	4.459431619
YBL032W	160187	161332	160112	161506	75	174	6.62935662
YBL031W	161702	162718	161681	162944	21	226	2.906890596
YBL030C	164000	163044	164091	162769	91	275	7.647458426
YBL029C-A	164775	164491	164870	164370	95	121	6.383704292
YBL029W	166137	167267	166026	167280	111	13	3.169925001
YBL028C	167841	167521	167874	167326	33	195	6.665335917
YBL027W	168426	169379	168403	169470	23	91	9.145932146
YBL026W	170626	171041	170561	171169	65	128	6.787902559
YBL025W	171484	171921	171359	171995	125	74	3.392317423
YBL024W	172537	174591	172425	174679	112	88	2.700439718
YBL023C	177529	174923	177587	174729	58	194	3
YBL022C	181278	177877	181391	177820	113	57	5.392317423
YBL021C	182097	181663	182115	181504	18	159	3.64385619
YBL020W	182404	184128	182246	184206	158	78	3.584962501
YBL019W	184356	185918					
YBL018C	186477	186001	186507	185965	30	36	
YBL017C	191586	186847	191770	186800	184	47	5.584962501
YBL016W	192454	193515	192228	193645	226	130	4.392317423
YBL015W	194125	195705	194047	195947	78	242	3.700439718
YBL014C	201751	199067		198975		92	3
YBL013W	202059	203264					0
YBL011W	203541	205820		206026		206	4.857980995
YBL012C	203810	203409					1.584962501
YBL010C	206952	206110	206974	205853	22	257	4.129283017
YBL009W	207197	209227	207163	209349	34	122	4.087462841
YBL008W-A	209412	209651					
YBL008W	209656	212178					0
YBL007C	216369	212635		212576		59	6.199672345
YBL006W-A	216714	216863					
YBL006C	217132	216590	217149	216434	17	156	6.426264755
YBL005W	217473	220403	217433	220708	40	305	5.266786541
YBL004W	227639	235120	227548	235180	91	60	4.491853096
YBL003C	235795	235397	235860	235250	65	147	9.086136225
YBL002W	236495	236890	236446	237080	49	190	8.182394353
YBL001C	237469	237155	237537	237115	68	40	6.820178962
YBR001C	241285	238943	241401	238875	116	68	3.700439718
YBR002C	242570	241710	242618	241619	48	91	4.209453366
YBR003W	242811	244232	242788	244362	23	130	5.714245518
YBR004C	245669	244368	245723	244277	54	91	4.672425342
YBR005W	245908	246549	245873	246695	35	146	4.584962501
YBR006W	247012	248505	246911	248623	101	118	5.768184325
YBR007C	251017	248807	251028	248680	11	127	4.321928095
YBR008C	254210	252564	254344	252545	134	19	3.321928095
YBR009C	255682	255371	255707	255224	25	147	
YBR010W	256329	256739	256320	256901	9	162	9.301496195
YBR011C	257973	257110	257984	257020	11	90	8.204571144
YBR012C	259564	259145	259593	258998	29	147	4.64385619
YBR013C	265879	265490	265902	265469	23	21	
YBR014C	267336	266725	267398	266639	62	86	6.14974712
YBR015C	269503	267710	269610	267580	107	130	5.599912842
YBR016W	270247	270633	270209	270841	38	208	7.204571144
YBR017C	273703	270947	273752	270870	49	77	4.906890596
YBR018C	275527	274427	275559	274401	32	26	0
YBR019C	278352	276253					1.584962501
YBR020W	279021	280607					0
YBR021W	281443	283344	281330	283484	113	140	1
YBR022W	283738	284271	283653	284421	85	150	4.523561956
YBR023C	287925	284428	287975	284308	50	120	2.584962501
YBR024W	289445	290350	289361	290567	84	217	5.14974712
YBR025C	291865	290681	291904	290497	39	184	8.62388149
YBR026C	294019	292877		292785		92	5.426264755
YBR027C	294356	294024		293200		824	
YBR028C	296002	294425					
YBR029C	297742	296369	298427	296248	685	121	5
YBR030W	298292	299950	298228	300065	64	115	4
YBR031W	300166	301254	299997	301349	169	95	10.42626475
YBR032W	301519	301821					2.459431619
YBR033W	301944	304703					1
YBR034C	305976	304930	305995	304773	19	157	6.426264755
YBR035C	306955	306269	306972	306170	17	99	5.247927513
YBR036C	310313	309081	310362	309024	49	57	6.721099189
YBR037C	311451	310564	311465	310506	14	58	3.247927513
YBR038W	311897	314788	311804	314961	93	173	4
YBR039W	315575	316510	315483	316690	92	180	6.209453366
YBR040W	316968	317864					1.584962501
YBR041W	318266	320275	318218	320457	48	182	3.807354922
YBR042C	321609	320416		320325		91	4.977279923
YBR043C	323945	321876	324096	321752	151	124	3.807354922
YBR044C	326058	324337	326126	324293	68	44	3.584962501
YBR045C	330090	328369					1
YBR046C	331509	330505	331567	330486	58	19	5.247927513
YBR047W	331831	332358	331786	332439	45	81	4.285402219
YBR048W	332829	333810	332801	334020	28	210	7.335390355
YBR049C	336816	334384	336948	334136	132	248	4.321928095
YBR051W	337986	338336					0
YBR050C	338197	337181		337153		28	1.584962501
YBR052C	339350	338718	339395	338687	45	31	7.335390355
YBR053C	340749	339673	340801	339631	52	42	6.087462841
YBR054W	343099	344133	342784	344496	315	363	7.164906927
YBR055C	347299	344600	347322	344528	23	72	5.14974712
YBR056W	347877	349382	347835	349416	42	34	5.95419631
YBR056W-A	351253	351453	351239	351899	14	446	
YBR056C-B	351449	351291					
YBR057C	353291	352191	353390	352089	99	102	3.392317423
YBR058C	356015	353670	356037	353645	22	25	5.285402219
YBR058C-A	356564	356322	356609	356214	45	108	7.519636253
YBR059C	360185	356859	360217	356820	32	39	4.459431619
YBR060C	362512	360650	362580	360620	68	30	4.392317423
YBR061C	365717	364785	365772	364629	55	156	4.209453366
YBR062C	366598	365974	366606	365888	8	86	5.303780748
YBR064W	367761	368189					
YBR063C	368182	366968		366858		110	4.247927513
YBR065C	369676	368582	369719	368415	43	167	1.584962501
YBR066C	370697	370035	370892	369963	195	72	4.044394119
YBR067C	372732	372100	372762	371990	30	110	8.113742166
YBR068C	375687	373858	375738	373657	51	201	6.714245518
YBR069C	378430	376571	378531	376464	101	107	3.754887502
YBR070C	379931	379218	379996	379200	65	18	4.700439718
YBR071W	380408	381043	380349	381305	59	262	4.285402219
YBR072W	382027	382671	381967	382836	60	165	7.569855608
YBR072C-A	383016	382855	382973	382751	Potential_AUG_annotation_error	104	2.321928095
YBR073W	383209	385983	383134	386047	75	64	4.169925001
YBR074W	386281	389211	386276	389237	5	26	4.977279923
YBR076W	390369	391388					
YBR076C-A	391611	391345		391185		160	
YBR077C	392287	391799	392409	391596	122	203	4.554588852
YBR078W	393118	394854	392955	394895	163	41	6.714245518
YBR079C	398271	395377	398297	395313	26	64	5.339850003
YBR080C	400884	398608	400905	398486	21	122	4.807354922
YBR081C	405245	401247	405392	401147	147	100	4.459431619
YBR082C	407163	406622	407373	406501	210	121	9.181152257
YBR083W	409163	410623	409008	410676	155	53	3.392317423
YBR084W	411048	413975	410978	414137	70	162	6.257387843
YBR084C-A	415255	414180	415386	414085	131	95	
YBR085W	415977	416900	415887	417068	90	168	3.906890596
YBR085C-A	419158	418901	419215	418567	57	334	6.491853096
YBR086C	423035	420195	423282	420100	247	95	5
YBR087W	423759	424823	423746	424875	13	52	5.321928095
YBR089W	425177	425776		425776		0	
YBR088C	425760	424984		424956		28	6.209453366
YBR089C-A	426483	426184	426922	426050	439	134	6.672425342
YBR090C	427052	426327					
YBR091C	427478	427149	427505	427062	27	87	
YBR092C	429095	427692	429108	427669	13	23	7.299208018
YBR093C	430945	429542	430993	429506	48	36	6.754887502
YBR094W	432030	434291	431974	434382	56	91	3.459431619
YBR095C	435692	434400	435760	434295	68	105	3.169925001
YBR096W	436015	436707	435931	436777	84	70	6.348728154
YBR097W	436945	441309		441384		75	2
YBR098W	441509	443584	441423	443799	86	215	3.754887502
YBR099C	443301	442918					
YBR101C	444687	443815	444725	443804	38	11	9.334273285
YBR102C	447317	445056	447380	444940	63	116	4.700439718
YBR103W	447703	449310					
YBR103C-A	449457	449314					
YBR104W	449661	450650	449603	450739	58	89	3.754887502
YBR105C	451963	450875	451994	450777	31	98	5.539158811
YBR106W	452652	453218	452607	453359	45	141	7.511752654
YBR107C	454524	453787	454640	453267	116	520	3.64385619
YBR108W	454816	457659	454785	457803	31	144	4.321928095
YBR109C	458356	457913	458385	457742	29	171	8.383704292
YBR109W-A	458602	458826	458619		Potential_AUG_annotation_error		
YBR110W	458866	460215		460316		101	4.857980995
YBR111C	461867	461172	461900	461122	33	50	8.894817763
YBR111W-A	462133	462573	462108	462732	25	159	5.727920455
YBR113W	465560	466042		466042		0	2.169925001
YBR112C	465764	462864		462577		287	4.832890014
YBR114W	467242	469614					3.247927513
YBR115C	473920	469742	474039	469718	119	24	4.700439718
YBR116C	474720	474193					0
YBR117C	476431	474386					
YBR118W	477665	479041	477651	479129	14	88	10.33817925
YBR119W	479332	480317	479260	480463	72	146	5.209453366
YBR120C	480917	480429	480985	480387	68	42	6.247927513
YBR121C-A	482478	482320		481979		341	
YBR121C	483361	481358	483442	481277	81	81	7.900866808
YBR122C	484497	483964	484531	483792	34	172	5.754887502
YBR124W	486501	486860					0
YBR123C	486685	484736	486749	484687	64	49	3.459431619
YBR125C	488374	487193	488550	487023	176	170	2.700439718
YBR126C	490386	488899	490445	488793	59	106	7.614709844
YBR126W-A	490844	491050					
YBR126W-B	490921	491064	490819	491196	102	132	
YBR127C	492816	491263	492862	491115	46	148	6.761551232
YBR128C	494109	493075	494160	493004	51	71	2.169925001
YBR129C	495333	494347	495369	494234	36	113	4.247927513
YBR130C	496863	495586	496905	495492	42	94	3.392317423
YBR131W	497157	499271	497125	499474	32	203	2.807354922
YBR131C-A	497733	497644					
YBR132C	501436	499646	501567	499521	131	125	2.321928095
YBR134W	504237	504638					0
YBR133C	504281	501798		501733		65	4.321928095
YBR135W	504848	505300	504763	505420	85	120	4.554588852
YBR136W	505662	512768					2.459431619
YBR137W	513038	513577	512820	513714	218	137	5.832890014
YBR138C	515330	513756	515385	513631	55	125	3
YBR139W	515658	517184	515632	517355	26	171	3.95419631
YBR140C	526622	517344	526730	517260	108	84	4.459431619
YBR141W-A	527161	527256					
YBR141C	528032	527019	528053	526838	21	181	2.169925001
YBR142W	528311	530632	528268	530777	43	145	4.832890014
YBR143C	532176	530863	532197	530746	21	117	7.21916852
YBR144C	533543	533229					1.321928095
YBR145W	533756	534811	533693	534911	63	100	6.055282436
YBR146W	535254	536090	535192	536294	62	204	6.491853096
YBR147W	536569	537459	536440	537486	129	27	3.321928095
YBR148W	537870	539699	537737	539793	133	94	1.807354922
YBR149W	539981	541015	539953	541118	28	103	7.438791853
YBR150C	544487	541203	544507	541160	20	43	6
YBR151W	545022	545972	544875	546106	147	134	6.74819285
YBR152W	546370	547245					1.584962501
YBR153W	547454	548188	547401	548527	53	339	3.64385619
YBR154C	549003	548356	549114	548283	111	73	6.321928095
YBR155W	549765	550922	549716	551002	49	80	3.392317423
YBR156C	553194	551098	553224	550944	30	154	3
YBR157C	554304	553537	554482	553435	178	102	4.727920455
YBR158W	556543	558192	556278	558339	265	147	6.636624621
YBR159W	558679	559722	558539	559810	140	88	5.539158811
YBR160W	560072	560968	560011	561064	61	96	4.700439718
YBR161W	561629	562759	561597	563075	32	316	3.584962501
YBR162C	564565	563198	564713	562955	148	243	6.826548487
YBR162W-A	565226	565423	565150	565512	76	89	8.481799432
YBR163W	565718	567475	565628	567552	90	77	2.584962501
YBR164C	568421	567870	568532	567767	111	103	6.417852515
YBR165W	568847	569680	568773	569726	74	46	1.584962501
YBR166C	571195	569837	571240	569751	45	86	4.807354922
YBR167C	571885	571463	572010	571414	125	49	3.321928095
YBR168W	572366	573607					3.169925001
YBR169C	575991	573910	576023	573767	32	143	7.118941073
YBR170C	578081	576339	578132	576220	51	119	5.022367813
YBR171W	578359	578979	578331	579106	28	127	6.22881869
YBR172C	581367	579145	581464	579035	97	110	4.523561956
YBR173C	582167	581721	582190	581681	23	40	5.62935662
YBR175W	582403	583350		583410		60	4.807354922
YBR174C	582647	582333					
YBR176W	583715	584653	583621	584799	94	146	4.672425342
YBR178W	586066	586440					1.584962501
YBR177C	586157	584802		584685		117	6.06608919
YBR179C	589109	586542	589175	586491	66	51	4.700439718
YBR180W	589736	591454					0
YBR181C	592769	591707	592797	591636	28	71	
YBR182C	594859	593501					2
YBR182C-A	595550	595356					1
YBR183W	596110	597060	595894	597161	216	101	4.392317423
YBR184W	597358	598929					0
YBR185C	599954	599118	599988	598985	34	133	5.64385619
YBR186W	600548	602355					0
YBR187W	602629	603471	602515	603561	114	90	6.882643049
YBR188C	604102	603680	604166	603628	64	52	3.807354922
YBR189W	604503	605503	604480	605574	23	71	9.665335917
YBR190W	605961	606272	606131		Potential_AUG_annotation_error		
YBR191W	606265	607135		607162		27	9.888743249
YBR191W-A	607144	607218		607248		30	
YBR192W	607647	608780	607483	609052	164	272	3.754887502
YBR193C	609748	609077	609786	608824	38	253	5.741466986
YBR194W	610033	610404	609947	610564	86	160	4.044394119
YBR195C	611877	610609		610519		90	3.584962501
YBR196C	613895	612231	613938	612093	43	138	9.903128677
YBR196C-A	614168	614019	614509	613946	341	73	2.906890596
YBR196C-B	614625	614521		614521		0	2.169925001
YBR197C	615851	615198		615032		166	4.087462841
YBR198C	618518	616122	618598	616046	80	76	5.044394119
YBR199W	618904	620298	618830	620428	74	130	6.409390936
YBR200W	620867	622522	620814	622739	53	217	3.906890596
YBR200W-A	622978	623142					0
YBR201W	623572	624207	623433	624333	139	126	4.285402219
YBR201C-A	624692	624489	624758	624462	66	27	4.129283017
YBR202W	625767	628304	625691	628468	76	164	2.807354922
YBR203W	629163	631937					1.321928095
YBR204C	633376	632249	633423	632090	47	159	5.375039431
YBR205W	633617	634831					
YBR206W	634596	634919		635011		92	
YBR207W	635141	636538	635108	636657	33	119	6.22881869
YBR208C	642205	636698	642553	636596	348	102	4.321928095
YBR209W	642578	642895					0
YBR210W	645545	645973	645518	646189	27	216	4.727920455
YBR211C	647127	646153	647226	646061	99	92	4.523561956
YBR212W	647881	649899	647531	649922	350	23	5.965784285
YBR213W	650363	651187					2.584962501
YBR214W	651410	652993	651326	653173	84	180	5.392317423
YBR215W	653351	655312	653256	655430	95	118	3.321928095
YBR216C	657595	655571	657630	655352	35	219	3.906890596
YBR217W	657827	658387	657792	658694	35	307	4.459431619
YBR218C	662244	658702	662385	658608	141	94	5.247927513
YBR219C	663298	662494					0
YBR220C	664672	662990	664740	662783	68	207	
YBR221C	666248	665148	666451	664934	203	214	7.357552005
YBR221W-A	666533	666637	666512	666668	21	31	
YBR222C	668346	666715	668473	666628	127	87	
YBR223W-A	668716	668835					
YBR224W	670120	670635					
YBR223C	670292	668658		668531		127	
YBR225W	670622	673324					
YBR226C	673560	673150					
YBR227C	675129	673567	675176	673456	47	111	
YBR228W	675308	676222	675277	676336	31	114	2.169925001
YBR229C	679216	676352	679233	676243	17	109	4.614709844
YBR230C	680045	679544	680059	679533	14	11	6.321928095
YBR230W-A	680357	680557	680309	680691	48	134	4.882643049
YBR231C	683085	682174	683143	682133	58	41	2.459431619
YBR233W	683423	684664		684818		154	3.321928095
YBR232C	683727	683368		683314		54	
YBR233W-A	684972	685256	684933	685492	39	236	4.209453366
YBR234C	686587	685433	686634	685388	47	45	6.515699838
YBR235W	686896	690258	686832	690356	64	98	4.906890596
YBR236C	691688	690378	691728	690244	40	134	4.930737338
YBR237W	691964	694513	691884	694619	80	106	3.754887502
YBR238C	697297	695102	697421	694870	124	232	3.523561956
YBR239C	699938	698349	700081	698242	143	107	3.169925001
YBR240C	701837	700485					-1
YBR241C	704050	702584	704114	702516	64	68	3.459431619
YBR242W	704665	705381	704500	705431	165	50	
YBR243C	706788	705442	706777		Potential_AUG_annotation_error		
YBR244W	707523	708011	707485	708133	38	122	7.28077077
YBR245C	711534	708145		708062		83	4.459431619
YBR246W	711586	712749	711549	712843	37	94	
YBR247C	714450	712999	714454	712905	4	94	4.392317423
YBR248C	716460	714802	716542	714753	82	49	6.392317423
YBR249C	717989	716877	718126	716789	137	88	7.326429487
YBR250W	719028	720599					1
YBR251W	721385	722308	721345	722388	40	80	5.14974712
YBR252W	722606	723049	722592	723113	14	64	5.321928095
YBR253W	723265	723630	723218	723723	47	93	4.491853096
YBR254C	724258	723731	724264	723593	6	138	4.426264755
YBR255W	724451	726535	724436	726674	15	139	
YBR255C-A	727069	726613	727105	726542	36	71	
YBR256C	728097	727381	728118	727350	21	31	6.383704292
YBR257W	728880	729719	728822	729861	58	142	
YBR258C	730157	729729	730180	729690	23	39	
YBR259W	730382	732448	730245	732591	137	143	3.64385619
YBR260C	734634	732634	734653	732531	19	103	3.459431619
YBR261C	735525	734827	735552	734719	27	108	5.807354922
YBR262C	736035	735715	736065	735646	30	69	4.459431619
YBR263W	736259	737731					
YBR264C	738364	737765	738490	737756	126	9	
YBR265W	738577	739539	738522	739664	55	125	5.087462841
YBR267W	739836	741017	739830	741138	6	121	4.584962501
YBR266C	740383	739931					
YBR268W	741294	741611	741287	741706	7	95	5.977279923
YBR269C	742571	742155	742575	742027	4	128	3.523561956
YBR270C	744393	742756	744462	742718	69	38	2
YBR271W	744847	746106	744833	746202	14	96	3.321928095
YBR272C	747798	746356		746188		168	2
YBR273C	749366	748056	749399	747962	33	94	5.129283017
YBR274W	749589	751172	749544	751366	45	194	4.087462841
YBR275C	757101	751351	757133	751243	32	108	4.727920455
YBR276C	760039	757616	760114	757564	75	52	5.409390936
YBR278W	760290	760895		760988		93	6.076815597
YBR277C	760612	760211					
YBR279W	761253	762590	761212	762735	41	145	4.584962501
YBR280C	764693	762780	764724	762702	31	78	4.321928095
YBR281C	767602	764966	767635	764875	33	91	5.569855608
YBR282W	768236	768676	768200	768761	36	85	5.442943496
YBR283C	770411	768939	770559	768800	148	139	6.499845887
YBR284W	771235	773628					0
YBR285W	773918	774352					1.584962501
YBR286W	774696	776309	774663	776359	33	50	7.826548487
YBR287W	776567	777850	776530	777902	37	52	6.14974712
YBR288C	779459	778008	779488	777929	29	79	4.554588852
YBR289W	779663	782380	779649	782432	14	52	3.906890596
YBR290W	782587	783552	782558	783654	29	102	4.906890596
YBR291C	784568	783669	784737	783647	169	22	4.285402219
YBR292C	785069	784698		784685		13	3.247927513
YBR293W	787001	788425	786512	788549	489	124	4.672425342
YBR294W	789230	791809					0
YBR295W	792843	796493	792777	796624	66	131	3.459431619
YBR296C	798516	796792	798551	796546	35	246	4.169925001
YBR296C-A	800236	800117					0
YBR297W	800517	801923	800463	802132	54	209	2.459431619
YBR298C	804469	802625	804624	802556	155	69	2
YBR298C-A	805250	805029					
YBR299W	805345	807099					
YBR301W	809051	809413					
YBR300C	809091	808594					0
YBR302C	811473	810334					
YCL076W	1392	2135					0
YCL073C	8326	6479					
YCL069W	9706	11082					
YCL068C	12285	11503					
YCL067C	13018	12386					
YCL066W	13282	13809					
YCL065W	13751	14119					0
YCL064C	16880	15798	16915	15736	35	62	6.754887502
YCL063W	17290	18561	17261	18716	29	155	3
YCL061C	22106	18816	22151	18662	45	154	2.584962501
YCL059C	23379	22429	23413	22344	34	85	5.87036472
