#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
Q0085_CDS	GENE_Q0085_CDS	Q0085_mRNA	protein_coding	2	9	5	97	0	0	0	0	55	1	0	0	5	0	0	0	0	0	1	0	0	9	42
Q0092_CDS	GENE_Q0092_CDS	Q0092_mRNA	protein_coding	0	0	0	109	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	65
Q0105_CDS	GENE_Q0105_CDS	Q0105_mRNA	protein_coding	0	1	1	142	0	0	0	0	52	0	0	42	1	0	0	0	0	0	0	0	0	1	48
Q0110_CDS	GENE_Q0110_CDS	Q0110_mRNA	protein_coding	0	1	4	87	0	0	0	0	35	0	0	4	4	0	0	0	0	0	0	0	0	1	48
Q0115_CDS	GENE_Q0115_CDS	Q0115_mRNA	protein_coding	0	2	16	96	0	0	0	0	39	0	0	9	16	0	0	0	0	0	0	0	0	2	48
Q0120_CDS	GENE_Q0120_CDS	Q0120_mRNA	protein_coding	0	2	3	125	0	0	0	0	44	0	0	33	3	0	0	0	0	0	0	0	0	2	48
Q0130_CDS	GENE_Q0130_CDS	Q0130_mRNA	protein_coding	0	0	0	106	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	45
Q0140_CDS	GENE_Q0140_CDS	Q0140_mRNA	protein_coding	2	0	3	123	0	1	0	1	65	2	0	0	1	0	0	0	0	0	0	0	0	0	58
Q0142_CDS	GENE_Q0142_CDS	Q0142_mRNA	protein_coding	0	0	1	106	0	0	0	0	50	0	0	0	1	0	0	0	0	0	0	0	0	0	56
Q0143_CDS	GENE_Q0143_CDS	Q0143_mRNA	protein_coding	0	1	1	106	1	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	1	57
Q0144_CDS	GENE_Q0144_CDS	Q0144_mRNA	protein_coding	0	0	0	103	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	61
Q0160_CDS	GENE_Q0160_CDS	Q0160_mRNA	protein_coding	0	0	0	79	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	38
Q0182_CDS	GENE_Q0182_CDS	Q0182_mRNA	protein_coding	4	1	2	79	0	0	0	1	48	3	0	0	1	0	0	0	0	0	2	0	0	1	31
Q0250_CDS	GENE_Q0250_CDS	Q0250_mRNA	protein_coding	0	12	2	153	0	0	0	0	93	0	0	0	2	0	0	0	0	0	0	0	0	12	60
Q0255_CDS	GENE_Q0255_CDS	Q0255_mRNA	protein_coding	0	19	35	105	1	0	0	1	42	0	0	1	33	0	0	0	0	0	0	0	0	19	62
Q0275_CDS	GENE_Q0275_CDS	Q0275_mRNA	protein_coding	0	2	0	178	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	2	105
Q0297_CDS	GENE_Q0297_CDS	Q0297_mRNA	protein_coding	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85
SDC25	SDC25	YLL016W	pseudogene	0	0	0	65	0	0	0	0	15	0	0	0	0	14	0	0	0	0	0	0	0	0	36
YAL001C_CDS	GENE_YAL001C_CDS	YAL001C_mRNA	protein_coding	0	10	5	34	0	0	0	0	15	0	0	1	5	0	0	0	1	0	0	0	0	9	19
YAL002W_CDS	GENE_YAL002W_CDS	YAL002W_id001	protein_coding	0	5	3	59	0	0	0	0	25	0	0	0	3	0	0	0	0	0	0	0	0	5	34
YAL003W_CDS	GENE_YAL003W_CDS	YAL003W_id001	protein_coding	0	2	1	51	0	0	0	1	17	0	0	2	0	0	0	0	0	0	0	0	0	2	32
YAL003W_CDS	GENE_YAL003W_CDS	YAL003W_id003	protein_coding	0	2	1	51	0	0	0	1	17	0	0	2	0	0	0	0	0	0	0	0	0	2	32
YAL004W_CDS	GENE_YAL004W_CDS	YAL004W_id001	protein_coding	0	0	5	50	0	0	0	0	17	0	0	0	5	0	0	0	0	0	0	0	0	0	33
YAL004W_CDS	GENE_YAL004W_CDS	YAL004W_id002	protein_coding	0	0	5	50	0	0	0	0	17	0	0	0	5	0	0	0	0	0	0	0	0	0	33
YAL005C_CDS	GENE_YAL005C_CDS	YAL005C_id001	protein_coding	0	6	1	52	0	0	0	0	35	0	0	0	1	0	0	0	0	0	0	0	0	6	17
YAL005C_CDS	GENE_YAL005C_CDS	YAL005C_id002	protein_coding	0	6	1	52	0	0	0	0	35	0	0	0	1	0	0	0	0	0	0	0	0	6	17
YAL007C_CDS	GENE_YAL007C_CDS	YAL007C_id001	protein_coding	0	1	0	57	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	1	32
YAL007C_CDS	GENE_YAL007C_CDS	YAL007C_id002	protein_coding	0	1	0	57	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	1	32
YAL008W_CDS	GENE_YAL008W_CDS	YAL008W_id001	protein_coding	0	5	2	49	0	0	0	0	30	0	0	0	2	0	0	0	0	0	0	0	0	5	19
YAL008W_CDS	GENE_YAL008W_CDS	YAL008W_id005	protein_coding	0	5	2	49	0	0	0	0	30	0	0	0	2	0	0	0	0	0	0	0	0	5	19
YAL009W_CDS	GENE_YAL009W_CDS	YAL009W_id001	protein_coding	0	2	1	53	0	0	0	0	35	0	0	0	1	0	0	0	0	0	0	0	0	2	18
YAL009W_CDS	GENE_YAL009W_CDS	YAL009W_id006	protein_coding	0	2	1	53	0	0	0	0	35	0	0	0	1	0	0	0	0	0	0	0	0	2	18
YAL010C_CDS	GENE_YAL010C_CDS	YAL010C_id001	protein_coding	0	4	2	50	0	0	0	0	17	0	0	0	2	0	0	0	0	0	0	0	0	4	33
YAL010C_CDS	GENE_YAL010C_CDS	YAL010C_id004	protein_coding	0	4	2	50	0	0	0	0	17	0	0	0	2	0	0	0	0	0	0	0	0	4	33
YAL011W_CDS	GENE_YAL011W_CDS	YAL011W_id001	protein_coding	0	5	2	53	0	0	0	0	28	0	0	0	2	0	0	0	0	0	0	0	0	5	25
YAL011W_CDS	GENE_YAL011W_CDS	YAL011W_id003	protein_coding	0	5	2	53	0	0	0	0	28	0	0	0	2	0	0	0	0	0	0	0	0	5	25
YAL012W_CDS	GENE_YAL012W_CDS	YAL012W_id001	protein_coding	0	2	0	52	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	2	32
YAL012W_CDS	GENE_YAL012W_CDS	YAL012W_id002	protein_coding	0	2	0	52	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	2	32
YAL013W_CDS	GENE_YAL013W_CDS	YAL013W_id001	protein_coding	0	4	2	61	0	0	0	0	17	0	0	0	2	0	0	0	0	0	0	0	0	4	44
YAL013W_CDS	GENE_YAL013W_CDS	YAL013W_id002	protein_coding	0	4	2	61	0	0	0	0	17	0	0	0	2	0	0	0	0	0	0	0	0	4	44
YAL014C_CDS	GENE_YAL014C_CDS	YAL014C_id001	protein_coding	0	3	2	59	0	0	0	0	40	0	0	0	2	0	0	0	0	0	0	0	0	3	19
YAL014C_CDS	GENE_YAL014C_CDS	YAL014C_id005	protein_coding	0	3	2	59	0	0	0	0	40	0	0	0	2	0	0	0	0	0	0	0	0	3	19
YAL015C_CDS	GENE_YAL015C_CDS	YAL015C_id001	protein_coding	0	8	1	64	0	0	0	0	43	0	0	0	1	0	0	0	0	0	0	0	0	8	21
YAL015C_CDS	GENE_YAL015C_CDS	YAL015C_id002	protein_coding	0	8	1	64	0	0	0	0	43	0	0	0	1	0	0	0	0	0	0	0	0	8	21
YAL016C-A_CDS	GENE_YAL016C-A_CDS	YAL016C-A_mRNA	protein_coding	0	0	1	69	0	0	0	0	34	0	0	0	1	0	0	0	0	0	0	0	0	0	35
YAL016C-B_CDS	GENE_YAL016C-B_CDS	YAL016C-B_mRNA	protein_coding	0	2	3	64	0	0	0	0	24	0	0	0	3	0	0	0	0	0	0	0	0	2	40
YAL016W_CDS	GENE_YAL016W_CDS	YAL016W_id001	protein_coding	0	12	0	61	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	12	35
YAL016W_CDS	GENE_YAL016W_CDS	YAL016W_id002	protein_coding	0	12	0	61	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	12	35
YAL017W_CDS	GENE_YAL017W_CDS	YAL017W_mRNA	protein_coding	0	17	4	71	0	0	0	0	44	0	0	0	4	0	0	0	0	0	0	0	0	17	27
YAL018C_CDS	GENE_YAL018C_CDS	YAL018C_id001	protein_coding	0	4	2	66	0	0	0	0	37	0	0	0	2	0	0	0	0	0	0	0	0	4	29
YAL019W-A_CDS	GENE_YAL019W-A_CDS	YAL019W-A_mRNA	protein_coding	0	1	1	74	0	0	0	0	33	0	0	0	1	0	0	0	0	0	0	0	0	1	41
YAL019W_CDS	GENE_YAL019W_CDS	YAL019W_id001	protein_coding	0	20	3	66	0	0	0	0	24	0	0	0	3	0	0	0	0	0	0	0	0	20	42
YAL020C_CDS	GENE_YAL020C_CDS	YAL020C_id001	protein_coding	0	5	5	70	0	0	0	0	36	0	0	0	5	0	0	0	0	0	0	0	0	5	34
YAL020C_CDS	GENE_YAL020C_CDS	YAL020C_id002	protein_coding	0	5	5	70	0	0	0	0	36	0	0	0	5	0	0	0	0	0	0	0	0	5	34
YAL021C_CDS	GENE_YAL021C_CDS	YAL021C_id001	protein_coding	0	15	5	62	0	1	0	0	25	0	0	0	4	0	0	0	0	0	0	0	0	15	37
YAL021C_CDS	GENE_YAL021C_CDS	YAL021C_id002	protein_coding	0	15	5	62	0	1	0	0	25	0	0	0	4	0	0	0	0	0	0	0	0	15	37
YAL022C_CDS	GENE_YAL022C_CDS	YAL022C_id001	protein_coding	0	8	1	62	0	0	0	0	22	0	0	0	1	0	0	0	0	0	0	0	0	8	40
YAL022C_CDS	GENE_YAL022C_CDS	YAL022C_id002	protein_coding	0	8	1	62	0	0	0	0	22	0	0	0	1	0	0	0	0	0	0	0	0	8	40
YAL023C_CDS	GENE_YAL023C_CDS	YAL023C_id001	protein_coding	0	8	1	66	0	0	0	0	30	0	0	0	1	0	0	0	0	0	0	0	0	8	36
YAL023C_CDS	GENE_YAL023C_CDS	YAL023C_id006	protein_coding	0	8	1	66	0	0	0	0	30	0	0	0	1	0	0	0	0	0	0	0	0	8	36
YAL024C_CDS	GENE_YAL024C_CDS	YAL024C_mRNA	protein_coding	0	20	6	51	0	0	0	0	25	0	0	0	6	0	0	0	0	0	0	0	0	20	26
YAL025C_CDS	GENE_YAL025C_CDS	YAL025C_id001	protein_coding	0	1	0	59	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	1	34
YAL025C_CDS	GENE_YAL025C_CDS	YAL025C_id002	protein_coding	0	1	0	59	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	1	34
YAL026C-A_CDS	GENE_YAL026C-A_CDS	YAL026C-A_mRNA	protein_coding	1	1	1	71	0	0	0	0	52	0	0	0	1	0	0	0	1	0	0	1	0	1	19
YAL026C_CDS	GENE_YAL026C_CDS	YAL026C_mRNA	protein_coding	0	11	2	92	0	0	0	0	54	0	0	0	2	0	0	0	0	0	0	0	0	11	38
YAL027W_CDS	GENE_YAL027W_CDS	YAL027W_id001	protein_coding	0	14	3	64	0	0	0	0	19	0	0	0	3	0	0	0	0	0	0	0	0	14	45
YAL027W_CDS	GENE_YAL027W_CDS	YAL027W_id002	protein_coding	0	14	3	64	0	0	0	0	19	0	0	0	3	0	0	0	0	0	0	0	0	14	45
YAL028W_CDS	GENE_YAL028W_CDS	YAL028W_id001	protein_coding	0	8	6	70	0	0	0	0	33	0	0	0	6	0	0	0	0	0	0	0	0	8	37
YAL028W_CDS	GENE_YAL028W_CDS	YAL028W_id005	protein_coding	0	8	6	70	0	0	0	0	33	0	0	0	6	0	0	0	0	0	0	0	0	8	37
YAL029C_CDS	GENE_YAL029C_CDS	YAL029C_mRNA	protein_coding	0	20	8	78	0	0	0	0	31	0	0	0	8	0	0	0	0	0	0	0	0	20	47
YAL030W_CDS	GENE_YAL030W_CDS	YAL030W_id001	protein_coding	0	3	0	67	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	3	32
YAL030W_CDS	GENE_YAL030W_CDS	YAL030W_id002	protein_coding	0	3	0	67	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	3	32
YAL031C_CDS	GENE_YAL031C_CDS	YAL031C_id001	protein_coding	0	9	5	60	0	0	0	0	29	0	0	0	5	0	0	0	0	0	0	0	0	9	31
YAL031C_CDS	GENE_YAL031C_CDS	YAL031C_id003	protein_coding	0	9	5	60	0	0	0	0	29	0	0	0	5	0	0	0	0	0	0	0	0	9	31
YAL031W-A_CDS	GENE_YAL031W-A_CDS	YAL031W-A_mRNA	protein_coding	1	2	2	57	0	0	0	0	29	1	0	0	2	0	0	0	0	0	0	0	0	2	28
YAL032C_CDS	GENE_YAL032C_CDS	YAL032C_id001	protein_coding	1	4	5	63	0	0	0	0	34	0	0	0	5	0	0	0	1	0	0	1	0	4	29
YAL032C_CDS	GENE_YAL032C_CDS	YAL032C_id008	protein_coding	1	4	5	63	0	0	0	0	34	0	0	0	5	0	0	0	1	0	0	1	0	4	29
YAL033W_CDS	GENE_YAL033W_CDS	YAL033W_id001	protein_coding	0	1	1	68	0	0	0	0	33	0	0	0	1	0	0	0	0	0	0	0	0	1	35
YAL033W_CDS	GENE_YAL033W_CDS	YAL033W_id003	protein_coding	0	1	1	68	0	0	0	0	33	0	0	0	1	0	0	0	0	0	0	0	0	1	35
YAL034C-B_CDS	GENE_YAL034C-B_CDS	YAL034C-B_id001	protein_coding	1	0	2	78	0	0	0	0	49	1	0	0	2	0	0	0	0	0	0	0	0	0	29
YAL034C_CDS	GENE_YAL034C_CDS	YAL034C_id001	protein_coding	0	3	2	80	0	0	0	0	46	0	0	0	2	0	0	0	0	0	0	0	0	3	34
YAL034C_CDS	GENE_YAL034C_CDS	YAL034C_id002	protein_coding	0	3	2	80	0	0	0	0	46	0	0	0	2	0	0	0	0	0	0	0	0	3	34
YAL034W-A_CDS	GENE_YAL034W-A_CDS	YAL034W-A_id001	protein_coding	0	3	0	82	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	3	51
YAL034W-A_CDS	GENE_YAL034W-A_CDS	YAL034W-A_id002	protein_coding	0	3	0	82	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	3	51
YAL035W_CDS	GENE_YAL035W_CDS	YAL035W_id001	protein_coding	0	23	9	65	0	0	0	0	30	0	0	0	9	0	0	0	1	0	0	0	1	22	35
YAL035W_CDS	GENE_YAL035W_CDS	YAL035W_id002	protein_coding	0	23	9	65	0	0	0	0	30	0	0	0	9	0	0	0	1	0	0	0	1	22	35
YAL036C_CDS	GENE_YAL036C_CDS	YAL036C_id001	protein_coding	0	10	0	75	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	10	41
YAL036C_CDS	GENE_YAL036C_CDS	YAL036C_id004	protein_coding	0	10	0	75	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	10	41
YAL037C-A_CDS	GENE_YAL037C-A_CDS	YAL037C-A_id001	protein_coding	0	0	1	81	0	0	0	0	31	0	0	0	1	0	0	0	0	0	0	0	0	0	50
YAL037C-B_CDS	GENE_YAL037C-B_CDS	YAL037C-B_mRNA	protein_coding	0	0	0	84	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	49
YAL037W_CDS	GENE_YAL037W_CDS	YAL037W_id001	protein_coding	0	5	2	85	0	0	0	0	50	0	0	0	2	0	0	0	0	0	0	0	0	5	35
YAL037W_CDS	GENE_YAL037W_CDS	YAL037W_id002	protein_coding	0	5	2	85	0	0	0	0	50	0	0	0	2	0	0	0	0	0	0	0	0	5	35
YAL038W_CDS	GENE_YAL038W_CDS	YAL038W_id001	protein_coding	0	0	0	87	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	39
YAL038W_CDS	GENE_YAL038W_CDS	YAL038W_id004	protein_coding	0	0	0	87	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	39
YAL039C_CDS	GENE_YAL039C_CDS	YAL039C_id001	protein_coding	0	6	2	58	0	0	0	0	22	0	0	0	2	0	0	0	0	0	0	0	0	6	36
YAL039C_CDS	GENE_YAL039C_CDS	YAL039C_id002	protein_coding	0	6	2	58	0	0	0	0	22	0	0	0	2	0	0	0	0	0	0	0	0	6	36
YAL040C_CDS	GENE_YAL040C_CDS	YAL040C_id001	protein_coding	0	8	1	64	0	0	0	0	31	0	0	0	1	0	0	0	0	0	0	0	0	8	33
YAL040C_CDS	GENE_YAL040C_CDS	YAL040C_id003	protein_coding	0	8	1	64	0	0	0	0	31	0	0	0	1	0	0	0	0	0	0	0	0	8	33
YAL041W_CDS	GENE_YAL041W_CDS	YAL041W_id001	protein_coding	0	13	0	61	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	13	27
YAL041W_CDS	GENE_YAL041W_CDS	YAL041W_id003	protein_coding	0	13	0	61	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	13	27
YAL042C-A_CDS	GENE_YAL042C-A_CDS	YAL042C-A_mRNA	protein_coding	0	1	1	50	0	0	0	0	20	0	0	0	1	0	0	0	0	0	0	0	0	1	30
YAL042W_CDS	GENE_YAL042W_CDS	YAL042W_id001	protein_coding	0	6	2	50	0	0	0	0	30	0	0	0	2	0	0	0	0	0	0	0	0	6	20
YAL042W_CDS	GENE_YAL042W_CDS	YAL042W_id005	protein_coding	0	6	2	50	0	0	0	0	30	0	0	0	2	0	0	0	0	0	0	0	0	6	20
YAL043C_CDS	GENE_YAL043C_CDS	YAL043C_id001	protein_coding	0	8	2	63	0	0	0	0	32	0	0	0	2	0	0	0	0	0	0	0	0	8	31
YAL043C_CDS	GENE_YAL043C_CDS	YAL043C_id002	protein_coding	0	8	2	63	0	0	0	0	32	0	0	0	2	0	0	0	0	0	0	0	0	8	31
YAL044C_CDS	GENE_YAL044C_CDS	YAL044C_id001	protein_coding	0	1	0	59	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	1	28
YAL044C_CDS	GENE_YAL044C_CDS	YAL044C_id002	protein_coding	0	1	0	59	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	1	28
YAL044W-A_CDS	GENE_YAL044W-A_CDS	YAL044W-A_id001	protein_coding	0	0	0	58	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	31
YAL044W-A_CDS	GENE_YAL044W-A_CDS	YAL044W-A_id004	protein_coding	0	0	0	58	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	31
YAL045C_CDS	GENE_YAL045C_CDS	YAL045C_mRNA	protein_coding	0	0	0	58	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	27
YAL046C_CDS	GENE_YAL046C_CDS	YAL046C_id001	protein_coding	0	0	1	52	0	0	0	0	30	0	0	0	1	0	0	0	0	0	0	0	0	0	22
YAL046C_CDS	GENE_YAL046C_CDS	YAL046C_id002	protein_coding	0	0	1	52	0	0	0	0	30	0	0	0	1	0	0	0	0	0	0	0	0	0	22
YAL047C_CDS	GENE_YAL047C_CDS	YAL047C_id001	protein_coding	0	13	4	45	0	0	0	0	26	0	0	0	4	0	0	0	0	0	0	0	0	13	19
YAL047C_CDS	GENE_YAL047C_CDS	YAL047C_id002	protein_coding	0	13	4	45	0	0	0	0	26	0	0	0	4	0	0	0	0	0	0	0	0	13	19
YAL047W-A_CDS	GENE_YAL047W-A_CDS	YAL047W-A_id001	protein_coding	0	1	0	53	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	1	26
YAL047W-A_CDS	GENE_YAL047W-A_CDS	YAL047W-A_id002	protein_coding	0	1	0	53	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	1	26
YAL048C_CDS	GENE_YAL048C_CDS	YAL048C_mRNA	protein_coding	0	10	1	53	0	0	0	0	25	0	0	0	1	0	0	0	0	0	0	0	0	10	28
YAL049C_CDS	GENE_YAL049C_CDS	YAL049C_id001	protein_coding	0	1	0	61	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	1	31
YAL049C_CDS	GENE_YAL049C_CDS	YAL049C_id002	protein_coding	0	1	0	61	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	1	31
YAL051W_CDS	GENE_YAL051W_CDS	YAL051W_mRNA	protein_coding	0	14	4	63	0	0	0	0	29	0	0	0	4	0	0	0	0	0	0	0	0	14	34
YAL053W_CDS	GENE_YAL053W_CDS	YAL053W_id001	protein_coding	0	13	0	57	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	13	34
YAL053W_CDS	GENE_YAL053W_CDS	YAL053W_id003	protein_coding	0	13	0	57	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	13	34
YAL054C_CDS	GENE_YAL054C_CDS	YAL054C_id001	protein_coding	0	13	2	57	0	0	0	0	28	0	0	0	2	0	0	0	0	0	0	0	0	13	29
YAL055W_CDS	GENE_YAL055W_CDS	YAL055W_id001	protein_coding	0	2	1	59	0	0	0	0	33	0	0	0	1	0	0	0	0	0	0	0	0	2	26
YAL055W_CDS	GENE_YAL055W_CDS	YAL055W_id003	protein_coding	0	2	1	59	0	0	0	0	33	0	0	0	1	0	0	0	0	0	0	0	0	2	26
YAL056C-A_CDS	GENE_YAL056C-A_CDS	YAL056C-A_mRNA	protein_coding	0	0	0	65	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	28
YAL056W_CDS	GENE_YAL056W_CDS	YAL056W_id001	protein_coding	0	9	1	71	0	0	0	0	33	0	0	0	1	0	0	0	0	0	0	0	0	9	38
YAL056W_CDS	GENE_YAL056W_CDS	YAL056W_id006	protein_coding	0	9	1	71	0	0	0	0	33	0	0	0	1	0	0	0	0	0	0	0	0	9	38
YAL058W_CDS	GENE_YAL058W_CDS	YAL058W_id001	protein_coding	0	3	7	70	0	0	0	0	28	0	0	0	7	0	0	0	0	0	0	0	0	3	42
YAL058W_CDS	GENE_YAL058W_CDS	YAL058W_id003	protein_coding	0	3	7	70	0	0	0	0	28	0	0	0	7	0	0	0	0	0	0	0	0	3	42
YAL059C-A_CDS	GENE_YAL059C-A_CDS	YAL059C-A_mRNA	protein_coding	0	3	2	66	0	0	0	0	43	0	0	0	2	0	0	0	0	0	0	0	0	3	23
YAL059W_CDS	GENE_YAL059W_CDS	YAL059W_id001	protein_coding	1	4	0	67	0	0	0	0	26	0	0	0	0	0	0	0	0	0	1	0	0	4	41
YAL059W_CDS	GENE_YAL059W_CDS	YAL059W_id002	protein_coding	1	4	0	67	0	0	0	0	26	0	0	0	0	0	0	0	0	0	1	0	0	4	41
YAL060W_CDS	GENE_YAL060W_CDS	YAL060W_id001	protein_coding	0	10	3	90	0	0	0	0	25	0	0	0	3	0	0	0	0	0	0	0	0	10	65
YAL060W_CDS	GENE_YAL060W_CDS	YAL060W_id014	protein_coding	0	10	3	90	0	0	0	0	25	0	0	0	3	0	0	0	0	0	0	0	0	10	65
YAL061W_CDS	GENE_YAL061W_CDS	YAL061W_id001	protein_coding	0	7	2	107	0	0	0	0	37	0	0	0	2	0	0	0	0	0	0	0	0	7	70
YAL061W_CDS	GENE_YAL061W_CDS	YAL061W_id003	protein_coding	0	7	2	107	0	0	0	0	37	0	0	0	2	0	0	0	0	0	0	0	0	7	70
YAL062W_CDS	GENE_YAL062W_CDS	YAL062W_id001	protein_coding	0	8	0	151	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	8	112
YAL062W_CDS	GENE_YAL062W_CDS	YAL062W_id003	protein_coding	0	8	0	151	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	8	112
YAL063C-A_CDS	GENE_YAL063C-A_CDS	YAL063C-A_id001	protein_coding	0	0	1	161	0	0	0	0	90	0	0	0	1	0	0	0	0	0	0	0	0	0	71
YAL063C-A_CDS	GENE_YAL063C-A_CDS	YAL063C-A_id006	protein_coding	0	0	1	161	0	0	0	0	90	0	0	0	1	0	0	0	0	0	0	0	0	0	71
