,Label,geneLen,GC_content,median_IUPRED,5UTR_PARS_RNAstructure,CDS_PARS_RNAstructure,3UTR_PARS_RNAstructure,%AA_A,%AA_C,%AA_D,%AA_E,%AA_F,%AA_G,%AA_H,%AA_I,%AA_K,%AA_L,%AA_M,%AA_N,%AA_P,%AA_Q,%AA_R,%AA_S,%AA_T,%AA_V,%AA_W,%AA_Y,%Helical,%Proteinturn,%Beta-sheet,Acidic AA%,Basic AA%,Polar AA%,Hydrophobic AA%,Charged AA%,number of physical interaction,number of positive genetic interaction,number of negative genetic interaction,"number of ppi, all","number of ppi, score >= 0.25","number of ppi, score > 0.5","number of ppi, score > 0.8","number of ppi, score >= 0.95",RNAseq Eupl,rna logFC,rna FC - other,MS mean,log2(MS),Imputed log2(MS),protein_synthesis_rate,real_protein_synthesis_rate,Ribo_profilling_init_rate,Ribo_profilling_ribo_num,Ribo_profilling_trans_rate,Ribo_profilling_trans_time,Ribo_profilling_delay_time,IDR ratio,Control Median,control Localization,Number of complexe,Sum d0 Pause Score,Sum Odds Ratio,Introns median length,intron length,Intron status,aliphaticIndex,aromaticityScore,cai,codonBias,fopScore,gravyScore,instabilityIndex,molecularWeight,pI,5'-UTR_length,3'-UTR_length,protein half-life (hr),mRNA half-life (min),ORF.length,median transcript length,Ubiquitilation number,Phosphorylation number,is in complex,is essential,alpha IDRratio,A3D mean score,A3D ratio,A3D mean +score,has disordered region,has transmembrane domain,flDPnn_disorder,PSIPRED_helix,PSIPRED_strand,PSIPRED_coil,MMseq2_low_conservation,MMseq2_high_conservation,MMseq2_median,SignalP,DFLpred_linker,ASAquick_buried,DisoRDPbind_RNA,DisoRDPbind_DNA,DisoRDPbind_PRO,MoRFchibi_morf,DRNApred_RNA,DRNApred_DNA,SCRIBER_PRO,PTM_content,haploinsufficient
YDR191W,0,1113.0,40.5211,0.2224,,,,0.0377,0.027,0.0593,0.0458,0.0431,0.0566,0.027,0.0539,0.0782,0.1078,0.0243,0.0593,0.062,0.0323,0.0647,0.0782,0.0431,0.0701,0.0,0.027,0.3019,0.2561,0.2156,0.1051,0.1699,0.2669,0.3639,0.275,0.0,0.0,0.0,17.0,8.0,3.0,0.0,0.0,2.51373685850854,1.00660860518692,0.9396580818385833,,,23.715542831687454,,,0.019,1.554,0.018,85.992,0.53,0.1159029649595687,18.59,nucleus:cytosol,0.0,,,,,0.0,83.65,0.07,0.12,0.02,0.43,-0.37,35.49,41780.0,9.57,Potential_AUG_annotation_error,109.0,11.6,33.0,1113.0,1277.0,,,0.0,0.0,0.11081081081081082,-0.961961891891892,0.05945945945945946,0.06042702702702704,1.0,0.0,0.116,0.3,0.138,0.562,0.11,0.05,2.23,0.0,0.005,0.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0
YDR194C,1,1995.0,35.6391,0.2503,0.439166666666666,0.237946365914786,0.146287878787878,0.0511,0.0105,0.0722,0.0707,0.0496,0.0391,0.018,0.0797,0.0857,0.0812,0.0135,0.0752,0.0346,0.0226,0.0767,0.0857,0.0436,0.0571,0.0015,0.0301,0.2992,0.2346,0.2165,0.1429,0.18039999999999998,0.2677,0.3638,0.32330000000000003,1.0,6.0,26.0,102.0,70.0,1.0,0.0,0.0,6.94327646536951,-0.11270666910297,0.1445856993570564,3249800000.0,31.597703788606157,31.597703788606157,,,0.034,4.549,0.032,144.239,1.114,0.162406015037594,22.67,mitochondria,0.0,,,,,0.0,79.39,0.08,0.2,0.16,0.53,-0.6,51.49,76282.6,9.43,24,132.0,6.9,39.0,1995.0,2175.0,,1.0,0.0,0.0,0.22439759036144577,-1.1554605421686746,0.05572289156626506,0.06912123493975907,1.0,0.0,0.122,0.426,0.107,0.467,0.2,0.05,2.14,0.0,0.0,0.378,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.065,0
YDR194W-A,0,153.0,32.6797,0.0067,,,,0.0196,0.0588,0.0196,0.0392,0.0392,0.0,0.0196,0.1176,0.0588,0.098,0.0588,0.0196,0.0196,0.098,0.0392,0.098,0.0392,0.0196,0.0196,0.098,0.3922,0.1373,0.2157,0.0588,0.11760000000000001,0.41159999999999997,0.47040000000000004,0.1764,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,24.66275788044368,,,,,,,,0.0,,,0.0,,,,,0.0,85.02,0.16,0.07,-0.28,0.3,0.02,58.16,6131.3,8.47,,,,,153.0,,,,0.0,0.0,0.0,0.481134,0.7,0.643744,0.0,0.0,0.16,0.2,0.54,0.26,0.0,0.36,2.95,0.0,0.0,0.08,0.12,0.0,0.0,0.0,0.0,0.34,0.82,0.06,0
YDR195W,1,1602.0,37.1411,0.4476,,,,0.0431,0.0056,0.0693,0.0449,0.0318,0.0337,0.0187,0.0599,0.1367,0.1049,0.0206,0.073,0.0599,0.0337,0.0318,0.1086,0.0562,0.0431,0.0,0.0225,0.2622,0.2753,0.2135,0.1142,0.18719999999999998,0.2996,0.32589999999999997,0.3014,21.0,35.0,204.0,49.0,39.0,24.0,15.0,14.0,4.282287545833455,0.67460282843463,0.7959021852469242,846010000.0,29.656099477181503,29.656099477181503,,,0.034,4.319,0.032,136.842,2.859,0.3426966292134831,35.75,nucleus,1.0,,,,,0.0,78.67,0.05,0.15,0.04,0.45,-0.71,40.44,59848.6,10.3,220,76.0,6.4,42.0,1602.0,2022.0,,19.0,1.0,0.0,0.3602251407129456,-1.0558857410881801,0.20637898686679174,0.18232870544090052,1.0,0.0,0.231,0.388,0.109,0.503,0.25,0.05,2.11,0.0,0.0,0.321,0.0,0.06,0.002,0.0,0.0,0.02,0.0,0.105,0
YDR197W,0,1170.0,36.3248,0.1275,,,,0.0385,0.0128,0.0436,0.0487,0.0538,0.041,0.0231,0.0744,0.0846,0.1333,0.0154,0.0744,0.0436,0.0436,0.0513,0.0949,0.0359,0.0462,0.0051,0.0333,0.3462,0.2538,0.2359,0.0923,0.159,0.29489999999999994,0.4,0.2513,7.0,13.0,120.0,4.0,2.0,0.0,0.0,0.0,4.263924866075245,0.18140994136115,0.3569011350132439,,,24.595143845865046,,,0.044,4.418,0.039,114.658,5.128,0.0,20.6,mitochondria,0.0,,,,,0.0,94.09,0.09,0.13,0.05,0.45,-0.29,41.33,44625.2,10.05,34,55.0,,45.0,1170.0,1436.0,,,0.0,0.0,0.05398457583547558,-0.8412092544987146,0.10025706940874037,0.07478354755784063,0.0,0.0,0.033,0.419,0.167,0.414,0.16,0.04,2.08,0.0,0.031,0.329,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.036,0
YDR198C,0,1440.0,36.25,0.0543,,,,0.025,0.0167,0.0625,0.0792,0.0479,0.0375,0.0271,0.0979,0.0667,0.1104,0.0083,0.0646,0.0375,0.0187,0.0354,0.0917,0.0417,0.05,0.0208,0.0583,0.3854,0.2313,0.2229,0.1417,0.12919999999999998,0.2917,0.41859999999999997,0.2709,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,4.04366384437618,0.639212836848516,0.7544556161885608,24619333.333333332,24.553288418439188,24.553288418439188,,,0.053,6.857,0.048,142.492,7.475,0.0,15.79,below threshold,0.0,,,,,0.0,92.76,0.13,0.12,-0.03,0.42,-0.26,44.59,55930.9,5.01,11,25.0,8.0,16.0,1440.0,1641.5,,1.0,0.0,0.0,0.012526096033402923,-0.8961659707724424,0.060542797494780795,0.02378517745302714,0.0,0.0,0.002,0.451,0.175,0.374,0.26,0.07,1.91,0.0,0.0,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0
YDR200C,0,1815.0,37.0248,0.494,,,,0.0397,0.005,0.0562,0.0694,0.0298,0.0529,0.0248,0.0595,0.0777,0.0909,0.0198,0.0893,0.0512,0.0579,0.0463,0.0942,0.0661,0.0579,0.0,0.0099,0.2479,0.2876,0.2198,0.1256,0.1488,0.3224,0.3075,0.2744,9.0,6.0,84.0,34.0,13.0,5.0,4.0,1.0,2.867630828647465,0.604949827151752,0.5392797715197397,45420333.333333336,25.436834989791052,25.436834989791052,,,0.05,6.914,0.043,160.565,4.249,0.509090909090909,,,1.0,,,,,0.0,77.18,0.04,0.12,0.0,0.43,-0.72,48.5,67283.5,7.5,66,108.0,,32.0,1815.0,2197.5,,11.0,1.0,0.0,0.44867549668874174,-1.0564774834437085,0.21688741721854304,0.20762483443708613,1.0,1.0,0.247,0.323,0.154,0.523,0.15,0.03,2.215,0.0,0.031,0.295,0.0,0.0,0.242,0.0,0.0,0.0,0.007,0.079,0
YDR201W,0,498.0,40.1606,0.4541,,,,0.0422,0.006,0.0904,0.1205,0.006,0.0301,0.0,0.0181,0.1024,0.1506,0.0482,0.0422,0.0241,0.0482,0.0542,0.0723,0.0542,0.0663,0.0,0.0181,0.259,0.1687,0.3614,0.21089999999999998,0.15660000000000002,0.24100000000000002,0.34950000000000003,0.36749999999999994,26.0,0.0,72.0,52.0,33.0,13.0,11.0,9.0,3.2378819034089448,1.15223792943545,1.0133431826672887,40727333.333333336,25.279494055033766,25.279494055033766,,,0.166,4.488,0.114,39.233,1.591,0.2590361445783132,,,1.0,,,,,0.0,84.74,0.02,0.16,0.15,0.5,-0.74,47.33,18900.7,4.49,39,78.0,8.0,19.0,498.0,773.5,1.0,13.0,1.0,1.0,0.15757575757575756,-1.4977618181818182,0.18787878787878787,0.17551878787878789,0.0,0.0,0.648,0.709,0.018,0.273,0.11,0.04,2.26,0.0,0.0,0.127,0.0,0.012,0.152,0.012,0.0,0.0,0.006,0.042,0
YDR202C,0,1056.0,37.2159,0.1643,,,,0.0369,0.0256,0.0511,0.0682,0.054,0.0312,0.017,0.0739,0.0682,0.108,0.0312,0.0767,0.0369,0.0597,0.0398,0.0824,0.0483,0.071,0.0057,0.0114,0.3239,0.2273,0.2443,0.11929999999999999,0.125,0.30410000000000004,0.3921,0.24430000000000002,9.0,6.0,87.0,15.0,14.0,3.0,2.0,2.0,2.787328815416505,0.909550869909313,0.7478765518977528,91021333.33333333,26.439701399957023,26.439701399957023,,,0.05,4.46,0.046,97.465,4.855,0.0198863636363636,23.18,vacuole,1.0,,,,,0.0,90.86,0.07,0.14,0.09,0.48,-0.2,46.25,40013.6,6.26,,56.0,7.8,61.0,1056.0,1195.0,2.0,,1.0,0.0,0.017094017094017096,-0.8427621082621082,0.09971509971509972,0.09224843304843304,0.0,0.0,0.051,0.527,0.137,0.336,0.15,0.07,2.21,0.0,0.063,0.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0
YDR205W,0,2175.0,38.2989,0.0143,-0.333333333333333,0.108117701149424,-0.2275,0.0607,0.0097,0.0386,0.0317,0.0648,0.0441,0.0469,0.0841,0.0469,0.1503,0.0166,0.051,0.0372,0.0221,0.0234,0.1076,0.0703,0.0566,0.0083,0.0276,0.3917,0.24,0.2593,0.0703,0.1172,0.2883,0.46900000000000003,0.1875,1.0,2.0,35.0,5.0,5.0,1.0,1.0,0.0,5.76152387733425,1.43325028189655,1.3801071814708805,16135900.0,23.943770801809556,23.943770801809556,,,0.103,15.459,0.078,199.33,11.799,0.0772413793103448,27.45,ER,0.0,,,,,0.0,111.62,0.1,0.12,-0.02,0.41,0.34,34.38,80578.2,7.83,9,100.0,,44.0,2175.0,2262.5,,1.0,0.0,0.0,0.1685082872928177,-0.24686381215469613,0.32734806629834257,0.3570982044198894,1.0,1.0,0.033,0.588,0.066,0.346,0.22,0.06,2.09,0.0,0.025,0.512,0.0,0.0,0.006,0.0,0.0,0.11,0.0,0.025,0
YDR208W,0,2340.0,38.4615,0.4766,0.442702702702702,0.164189316239315,-0.055826086956522,0.0385,0.0051,0.0679,0.0436,0.0359,0.0321,0.0449,0.0615,0.0782,0.0846,0.0205,0.0744,0.0564,0.0346,0.059,0.1077,0.0718,0.0385,0.0038,0.0397,0.2641,0.2705,0.1872,0.1115,0.18209999999999998,0.3333,0.323,0.2936,5.0,33.0,168.0,23.0,15.0,5.0,4.0,0.0,6.02379972047607,0.800417490683319,0.8017287051543053,136543333.33333334,27.024783646552766,27.024783646552766,,,0.025,4.612,0.021,217.089,2.919,0.5012820512820513,26.7,cytosol,0.0,,,,,0.0,68.35,0.08,0.14,0.04,0.46,-0.8,47.29,89341.7,9.77,37,115.0,3.6,35.0,2340.0,2651.0,3.0,95.0,0.0,1.0,0.49293966623876767,-0.8928930680359436,0.196405648267009,0.15651335044929407,1.0,0.0,0.235,0.306,0.127,0.567,0.13,0.08,2.44,0.0,0.013,0.291,0.0,0.005,0.117,0.0,0.0,0.0,0.0,0.089,0
YDR213W,0,2742.0,42.6696,0.47455,,,,0.0689,0.0098,0.0525,0.0558,0.0306,0.0656,0.0197,0.0427,0.0547,0.1018,0.0306,0.0591,0.0438,0.0897,0.0361,0.1039,0.0624,0.046,0.0055,0.0197,0.2462,0.2724,0.2571,0.10830000000000001,0.11049999999999999,0.3446,0.3458,0.2188,4.0,3.0,37.0,16.0,11.0,0.0,0.0,0.0,3.53230390225944,1.32661872239954,1.3310170157448553,243263333.33333334,27.857943646733535,27.857943646733535,,,0.034,6.987,0.032,218.746,3.652,0.4792122538293216,20.41,nucleus,0.0,,,,,0.0,74.56,0.06,0.12,0.05,0.45,-0.53,54.99,100324.8,5.86,Potential_AUG_annotation_error,242.0,,27.0,2742.0,3009.0,,47.0,0.0,0.0,0.5147864184008762,-0.9180543263964952,0.20262869660460023,0.15751095290251907,1.0,0.0,0.2,0.462,0.079,0.459,0.26,0.05,2.01,0.0,0.015,0.338,0.0,0.001,0.307,0.0,0.0,0.0,0.0,0.078,0
YDR214W,0,1053.0,43.9696,0.2541,0.145142857142857,0.420175688509021,-0.015326086956522,0.0456,0.0085,0.0427,0.0855,0.0627,0.057,0.0171,0.0541,0.1026,0.0712,0.0057,0.0541,0.0427,0.0399,0.0256,0.114,0.0513,0.0741,0.0199,0.0228,0.3048,0.2678,0.208,0.1282,0.1453,0.29059999999999997,0.35609999999999997,0.2735,21.0,2.0,47.0,86.0,54.0,9.0,2.0,2.0,6.992917054022355,1.5533043043459,1.1353281396927566,2396066666.6666665,31.158020903921813,31.158020903921813,2061.23004347826,0.199294145128233,0.188,10.427,0.127,82.238,4.554,0.1623931623931624,107.97,cytosol,0.0,3.25,4.470000000000001,,,0.0,71.08,0.11,0.17,0.17,0.53,-0.5,36.2,39435.8,7.59,105,92.0,17.7,35.0,1053.0,1269.0,2.0,29.0,0.0,0.0,0.08857142857142856,-0.9862305714285714,0.06,0.05027828571428571,1.0,0.0,0.203,0.26,0.26,0.48,0.12,0.08,2.275,0.0,0.003,0.3,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.077,0
YDR218C,0,1272.0,36.478,0.3087,,,,0.033,0.0118,0.092,0.066,0.0259,0.0495,0.0212,0.0731,0.0873,0.0991,0.0118,0.0802,0.033,0.0307,0.0495,0.0731,0.059,0.059,0.0024,0.0401,0.2995,0.2358,0.2099,0.158,0.158,0.2949,0.3444,0.316,2.0,0.0,22.0,10.0,10.0,8.0,5.0,1.0,-0.3801079876212725,2.42184204805127,2.4423122527683048,,,24.191209433804804,,,0.088,7.083,0.068,104.587,1.844,0.1721698113207547,15.81,below threshold,0.0,,,,,0.0,83.84,0.07,0.14,-0.01,0.43,-0.66,36.98,48184.7,5.71,,,,,1272.0,,,,0.0,0.0,0.19148936170212766,-1.2478056737588652,0.07801418439716312,0.0577432624113475,1.0,0.0,0.191,0.355,0.158,0.487,0.11,0.06,2.26,0.0,0.017,0.348,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.069,0
YDR219C,0,1398.0,35.1216,0.4541,,,,0.0322,0.0086,0.0687,0.0665,0.0365,0.03,0.0215,0.0665,0.088,0.0923,0.0215,0.0944,0.0451,0.0193,0.0601,0.103,0.0687,0.0472,0.0064,0.0215,0.2704,0.2725,0.2124,0.1352,0.1696,0.31549999999999995,0.3241,0.3048,3.0,14.0,46.0,9.0,6.0,0.0,0.0,0.0,3.733343738899325,0.661856083227965,0.58558904416751,166630000.0,27.31207293409584,27.31207293409584,,,0.063,6.981,0.054,128.37,5.298,0.3819742489270386,26.18,mitochondria,0.0,,,,,0.0,75.31,0.06,0.11,-0.11,0.37,-0.73,46.17,53174.8,9.16,122,192.0,1.7,48.0,1398.0,1846.0,2.0,40.0,0.0,0.0,0.5182795698924731,-1.0198354838709678,0.2129032258064516,0.1806879569892474,1.0,0.0,0.161,0.32,0.12,0.56,0.15,0.04,2.09,0.0,0.0,0.282,0.0,0.002,0.0,0.0,0.0,0.04,0.0,0.112,0
YDR221W,0,2109.0,39.3077,0.2328,-0.291249999999999,0.116059743954479,0.179834254143646,0.0455,0.0256,0.0768,0.0967,0.0413,0.0541,0.0142,0.0526,0.074,0.1024,0.0142,0.0669,0.027,0.037,0.0427,0.0868,0.0341,0.0583,0.0043,0.0441,0.303,0.2347,0.2589,0.1735,0.1309,0.2945,0.3627,0.3044,4.0,0.0,32.0,19.0,7.0,3.0,1.0,1.0,5.582222253145745,1.23670313788463,1.3625249175609795,189523333.33333334,27.49780024472219,27.49780024472219,119.85240826087,0.0115881695599601,0.109,15.87,0.082,193.029,17.612,0.0469416785206258,,,1.0,,,,,0.0,77.83,0.09,0.15,0.07,0.47,-0.56,39.83,79868.0,4.5,24,181.0,5.8,33.0,2109.0,2720.0,,,1.0,0.0,0.1111111111111111,-1.1982219373219374,0.0754985754985755,0.08899059829059826,1.0,0.0,0.021,0.476,0.124,0.4,0.29,0.05,1.84,1.0,0.047,0.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0
YDR222W,0,1248.0,36.7788,0.1528,-0.144225352112676,0.13971955128205,-0.02,0.0192,0.0192,0.0601,0.0481,0.0625,0.0577,0.0192,0.0649,0.0889,0.0793,0.0192,0.0649,0.0385,0.0409,0.0312,0.101,0.0553,0.0721,0.012,0.0433,0.3341,0.262,0.1659,0.10819999999999999,0.1393,0.3246,0.3725,0.2475,1.0,3.0,11.0,5.0,5.0,0.0,0.0,0.0,4.746333175786775,1.19164184897941,1.294940321829023,158566666.66666666,27.24051429277646,27.24051429277646,,,0.016,1.476,0.015,99.91,1.032,0.0,18.05,below threshold,0.0,,,,,0.0,75.23,0.12,0.18,0.11,0.5,-0.38,31.73,47419.5,8.5,71,152.0,2.0,12.0,1248.0,1807.5,3.0,9.0,0.0,0.0,0.07710843373493977,-0.7439489156626505,0.10120481927710843,0.07630072289156627,0.0,0.0,0.031,0.243,0.272,0.485,0.18,0.08,2.2,0.0,0.0,0.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0
YDR223W,0,1404.0,40.2422,0.4901,,,,0.0385,0.0171,0.0983,0.0769,0.0299,0.0449,0.0256,0.0491,0.0726,0.0726,0.0064,0.0726,0.0449,0.0107,0.0406,0.1496,0.062,0.0534,0.0043,0.0278,0.2372,0.312,0.1944,0.1752,0.1388,0.3398,0.28200000000000003,0.314,1.0,0.0,9.0,11.0,5.0,0.0,0.0,0.0,3.1841721245748653,1.57722791599258,1.464490896967953,,,23.720440319473536,,,0.036,4.547,0.033,139.791,3.838,0.4978632478632478,15.41,below threshold,0.0,,,,,0.0,65.07,0.06,0.1,-0.11,0.36,-0.82,48.16,51668.8,4.58,,,,34.0,1404.0,1873.0,,1.0,0.0,0.0,0.7751605995717344,-0.8284278372591007,0.3169164882226981,0.35142740899357566,1.0,0.0,0.396,0.182,0.165,0.653,0.05,0.05,2.65,0.0,0.039,0.274,0.0,0.004,0.201,0.0,0.0,0.0,0.0,0.084,0
YDR225W,0,399.0,42.8571,0.374,0.165645161290322,0.727141102756891,-0.111948717948717,0.1429,0.0,0.0226,0.0376,0.0075,0.1053,0.0226,0.0526,0.0827,0.1278,0.0075,0.0602,0.0376,0.0451,0.0752,0.0602,0.0376,0.0451,0.0,0.0226,0.2556,0.2632,0.3158,0.060200000000000004,0.1805,0.22569999999999998,0.406,0.24070000000000003,98.0,55.0,164.0,300.0,251.0,92.0,56.0,13.0,8.564425706827935,0.551448187437547,0.4907515612311742,,,23.15787433569115,7688.21591304348,0.743350516745676,0.288,4.484,0.198,22.602,1.007,0.2030075187969924,16.77,below threshold,1.0,11.12,11.5,,,0.0,97.6,0.03,0.65,0.76,0.85,-0.32,53.03,14002.5,11.34,62,156.0,,27.0,399.0,650.0,,16.0,1.0,0.0,0.015151515151515152,-0.9804977272727275,0.23484848484848486,0.20146439393939397,0.0,0.0,0.333,0.576,0.03,0.394,0.09,0.08,2.59,0.0,0.0,0.098,0.0,0.121,0.0,0.0,0.0,0.1,0.0,0.076,0
YDR226W,0,669.0,43.7967,0.4051,-0.177020454545454,0.58719730941704,0.05922480620155,0.0987,0.0045,0.0852,0.0538,0.0224,0.0807,0.0224,0.0673,0.0852,0.0942,0.0359,0.0359,0.0583,0.0493,0.0404,0.0448,0.0493,0.0448,0.009,0.0135,0.2511,0.2197,0.2825,0.139,0.148,0.19729999999999998,0.38580000000000003,0.287,1.0,0.0,15.0,39.0,26.0,3.0,3.0,0.0,9.311692631775175,0.49272929355899,0.7020722972156346,39465666666.666664,35.199879068807135,35.199879068807135,75763.1334782609,7.32530993644303,0.331,7.023,0.2,35.173,1.075,0.2017937219730941,19.03,below threshold,0.0,11.38,20.229999999999997,,,0.0,83.81,0.05,0.53,0.62,0.78,-0.43,34.04,24252.0,6.37,44,129.0,12.2,22.0,669.0,846.0,4.0,8.0,0.0,1.0,0.013513513513513514,-0.9739617117117118,0.04054054054054054,0.03025585585585585,0.0,0.0,0.081,0.518,0.063,0.419,0.02,0.13,2.625,0.0,0.014,0.221,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.041,0
YDR228C,0,1881.0,36.7358,0.3356,,,,0.0351,0.0159,0.051,0.0638,0.0303,0.0335,0.0223,0.0542,0.0877,0.1148,0.0159,0.0893,0.0319,0.0813,0.0303,0.0861,0.067,0.0431,0.0096,0.0351,0.2871,0.2408,0.2297,0.11479999999999999,0.14029999999999998,0.3747,0.33809999999999996,0.2551,20.0,34.0,167.0,55.0,37.0,23.0,14.0,6.0,4.777574839513376,0.641356283814323,0.9574700085002424,387773333.3333333,28.530638357417864,28.530638357417864,58.3886665347826,0.0056454248855167,0.031,4.461,0.029,154.944,2.282,0.1993620414673046,,,1.0,,,,,0.0,78.03,0.08,0.17,0.13,0.51,-0.71,45.04,71901.0,7.93,91,113.0,7.4,34.0,1881.0,2048.5,,5.0,1.0,1.0,0.2012779552715655,-1.2026777955271566,0.15495207667731628,0.11441948881789132,1.0,0.0,0.206,0.45,0.113,0.437,0.23,0.04,2.01,0.0,0.034,0.292,0.0,0.01,0.08,0.0,0.0,0.09,0.0,0.045,0
YDR229W,0,1362.0,42.511,0.4766,,,,0.0485,0.0066,0.0859,0.0727,0.0242,0.0639,0.022,0.0396,0.0683,0.0991,0.0154,0.0815,0.0286,0.0441,0.0396,0.1322,0.0639,0.033,0.0044,0.0242,0.2247,0.3062,0.2357,0.15860000000000002,0.1299,0.35250000000000004,0.2884,0.28850000000000003,3.0,0.0,15.0,62.0,30.0,3.0,0.0,0.0,4.090906284223225,0.924841886000145,0.7965130252768383,346040000.0,28.366363577043874,28.366363577043874,416.572161317391,0.0402771117356098,0.066,6.974,0.056,124.474,6.131,0.4933920704845815,15.64,below threshold,0.0,,,,,0.0,67.42,0.05,0.11,-0.03,0.4,-0.87,47.62,49953.0,4.65,96,56.0,4.7,43.0,1362.0,1520.5,,98.0,0.0,0.0,0.423841059602649,-1.2880889624724063,0.12362030905077263,0.09950993377483443,1.0,0.0,0.457,0.486,0.009,0.505,0.13,0.05,2.3,0.0,0.0,0.258,0.0,0.0,0.351,0.0,0.0,0.0,0.0,0.11,0
YDR231C,0,618.0,47.5728,0.31655,-0.44,-0.064401294498382,-0.071836734693878,0.068,0.0097,0.0485,0.0534,0.0437,0.0437,0.0146,0.0437,0.1019,0.0825,0.0291,0.0388,0.0485,0.1019,0.0388,0.1068,0.0388,0.0194,0.0485,0.0146,0.2524,0.2379,0.233,0.1019,0.1553,0.3106,0.34950000000000003,0.2572,237.0,11.0,107.0,238.0,238.0,2.0,0.0,0.0,3.28030223648667,0.662837101416402,0.46151989788618797,292360000.0,28.123170702720696,28.123170702720696,,,0.213,6.993,0.137,51.056,3.539,0.2572815533980582,17.5,below threshold,0.0,,,,,0.0,57.3,0.11,0.11,0.1,0.48,-0.83,47.91,23766.3,10.11,26,147.0,9.3,75.0,618.0,954.5,,7.0,0.0,0.0,0.1024390243902439,-0.9724521951219512,0.2780487804878049,0.4083756097560975,1.0,1.0,0.58,0.551,0.059,0.39,0.16,0.09,2.2,0.0,0.034,0.205,0.0,0.0,0.088,0.01,0.0,0.0,0.005,0.098,0
YDR233C,1,888.0,40.4279,0.1775,0.608888888888888,0.832002252252254,-0.081710526315789,0.0777,0.0135,0.0236,0.0574,0.0642,0.0372,0.027,0.0541,0.098,0.098,0.0101,0.0372,0.0541,0.0743,0.0068,0.0845,0.0777,0.0676,0.0101,0.0236,0.3176,0.2128,0.2432,0.081,0.1318,0.3108000000000001,0.4054,0.2128,30.0,6.0,13.0,105.0,78.0,8.0,1.0,0.0,10.0629785739308,1.02991391427953,1.1099227344564422,14678000000.0,33.77293635130481,33.77293635130481,67665.8308695652,6.54240605516568,0.725,15.891,0.264,60.112,6.547,0.2466216216216216,332.41,ER,0.0,11.5,49.1,,,0.0,82.75,0.1,0.4,0.5,0.72,-0.16,43.29,32923.3,9.45,27,76.0,9.7,19.0,888.0,1315.0,6.0,51.0,0.0,0.0,0.17288135593220338,-0.3519206779661017,0.42033898305084744,0.6311586440677966,1.0,1.0,0.346,0.593,0.017,0.39,0.21,0.04,2.12,0.0,0.0,0.295,0.0,0.0,0.153,0.0,0.0,0.02,0.0,0.058,0
YDR234W,0,2082.0,44.9087,0.2541,0.016334661354582,0.407991834774258,-0.045,0.0865,0.013,0.0476,0.0591,0.0274,0.0836,0.0231,0.0663,0.0764,0.0893,0.013,0.0562,0.049,0.036,0.0288,0.072,0.0562,0.0749,0.0159,0.0245,0.2983,0.2608,0.2478,0.1067,0.1283,0.25789999999999996,0.39780000000000004,0.235,7.0,0.0,0.0,37.0,26.0,0.0,0.0,0.0,7.73170602776593,1.41033073719254,1.6762590969859341,5510100000.0,32.35943135602001,32.35943135602001,7125.1057826087,0.688905088680465,0.35,16.043,0.105,152.921,3.785,0.0057636887608069,,,0.0,,,,,0.0,88.99,0.07,0.2,0.25,0.57,-0.21,39.25,75150.5,7.41,251,118.0,10.5,17.0,2082.0,2311.0,,1.0,0.0,0.0,0.04184704184704185,-0.7215998556998556,0.044733044733044736,0.023395526695526695,0.0,0.0,0.026,0.346,0.154,0.5,0.07,0.1,2.55,0.0,0.02,0.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0
YDR235W,0,1635.0,33.2722,0.0258,,,,0.0239,0.0183,0.0477,0.0734,0.055,0.022,0.0128,0.0679,0.0991,0.1376,0.0183,0.0514,0.022,0.0459,0.0294,0.0899,0.044,0.0404,0.0239,0.0752,0.4,0.1853,0.2532,0.12110000000000001,0.1413,0.3247,0.44220000000000004,0.2624,13.0,2.0,56.0,52.0,46.0,40.0,32.0,27.0,3.36616530677644,0.623438149616903,0.699086722599025,,,24.153694024425747,,,0.009,1.338,0.009,146.509,0.987,0.0,27.32,nucleus,2.0,,,,,,,,,,,,,,,,84.0,14.3,30.0,1635.0,1740.0,,2.0,1.0,1.0,0.02022058823529412,-0.8836180147058823,0.07904411764705882,0.04483915441176472,0.0,0.0,0.015,0.643,0.088,0.269,0.13,0.08,2.14,0.0,0.0,0.428,0.0,0.006,0.0,0.0,0.0,0.06,0.0,0.026,0
