Chromosome,MEAN RG,verified genes,dubious genes,uncharacterized genes,ARS,ltr,ncRNA,Retrotransposon,snoRNA,tRNA,rRNA,snRNA,Total Features,Chr length,verified & uncharacterized,total genes
14,80.16906838,342,34,37,20,9,0.0,0.0,5.0,14.0,0.0,1.0,462.0,731293,379,413
14,76.70959407,342,34,37,20,9,0.0,0.0,5.0,14.0,0.0,1.0,462.0,731293,379,413
14,77.17391304,342,34,37,20,9,0.0,0.0,5.0,14.0,0.0,1.0,462.0,731293,379,413
14,78.40909091,342,34,37,20,9,0.0,0.0,5.0,14.0,0.0,1.0,462.0,731293,379,413
15,44.86321029,478,52,46,20,24,0.0,2.0,11.0,20.0,0.0,0.0,653.0,1071422,524,576
15,41.91284191,478,52,46,20,24,0.0,2.0,11.0,20.0,0.0,0.0,653.0,1071422,524,576
15,39.01292413,478,52,46,20,24,0.0,2.0,11.0,20.0,0.0,0.0,653.0,1071422,524,576
15,37.26394184,478,52,46,20,24,0.0,2.0,11.0,20.0,0.0,0.0,653.0,1071422,524,576
16,0.0,411,41,48,29,15,1.0,1.0,6.0,17.0,0.0,0.0,569.0,918474,459,500
16,0.0,411,41,48,29,15,1.0,1.0,6.0,17.0,0.0,0.0,569.0,918474,459,500
16,0.0,411,41,48,29,15,1.0,1.0,6.0,17.0,0.0,0.0,569.0,918474,459,500
16,0.0,411,41,48,29,15,1.0,1.0,6.0,17.0,0.0,0.0,569.0,918474,459,500
